Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Disc_Base_Reward_Mean    Disc_Base_Reward_Std     Disc_P_Reward_Mean       Disc_P_Reward_Std        Disc_Prog_Reward_Mean    Disc_Prog_Reward_Std     Disc_Abs_Reward_Mean     Disc_Abs_Reward_Std      Disc_Energy_Mean         Disc_Energy_Std          Disc_Energy_P95          Disc_Energy_Max          Disc_Abs_Root_Mean       Disc_Abs_Root_Std        Disc_E_Root_Pos          Disc_E_Root_Rot          Disc_E_Joint_Rot         Disc_E_Body_Pos          Disc_E_Root_Vel          Disc_E_Root_Ang          Disc_E_Dof_Vel           Disc_Flow_Norm           Disc_Flow_Tangent_Gap    Disc_Flow_Tangent_R_Gap  Disc_Flow_Rev_Gap        Disc_Flow_Shuffle_Gap    Disc_Reward_Clip_Frac    Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0030751870075861614    65536                    5919.784520270151        0.0                      17.310426712036133       4075                     0.0                      17.065336227416992       2663                     0.1343463808298111       -0.005212214309722185    0.0614166259765625       1.000330924987793        0.0                      6.290231227874756        2.10864520072937         162.78822326660156       0.78125                  0.9341239929199219       0.003317727940157056     -5.529695987701416       -0.2953278124332428      0.2915499806404114       -0.03698296844959259     0.1174367293715477       -0.007808367721736431    0.11853692680597305      -0.029174599796533585    0.03995442017912865      -0.008469711989164352    0.03705894947052002      -0.020704887807369232    0.007272090297192335     1.0090489387512207       0.3528377115726471       1.6242942810058594       2.6130013465881348       -0.0006112279370427132   0.0007559483055956662    0.004365913569927216     0.01201231312006712      0.006753860041499138     0.003520988393574953     0.05224323272705078      0.4065686762332916       0.5235839486122131       19.826507568359375       1.6907808780670166       0.056457795202732086     3.67934250831604         2.523937225341797        0.006591796875           0.2543702721595764       0.9349550604820251       0.2932372987270355       1.2718980312347412       2.6225271224975586       0.6583391427993774       2.0352940559387207       0.3793983459472656       0.3036257326602936       1.0                      
100                      0.10003592153390249      6619136                  18379.886551709977       0.0                      11.177905082702637       3114                     0.0                      14.593113899230957       448227                   0.06208129599690437      -0.008771535009145737    0.11022644490003586      1.000878930091858        0.0                      1.5704585313796997       0.21043241024017334      98.11901092529297        1.0                      1.0                      1.1589100360870361       -2.9814720153808594      0.005418003536760807     0.250031054019928        -0.25293058156967163     0.07056578993797302      -0.22413453459739685     0.06716155260801315      -0.028796039521694183    0.036217473447322845     -0.009113327600061893    0.033887915313243866     -0.019682712852954865    0.006590541917830706     0.962200939655304        0.3218153715133667       1.5155099630355835       2.4886586666107178       -0.0005118093686178327   0.0007285672472789884    0.003655781038105488     0.007977671921253204     0.0059900954365730286    0.003271427471190691     0.06935045123100281      0.35406723618507385      0.5178882479667664       7.898531913757324        0.17934788763523102      0.01652539148926735      0.2323259711265564       0.41288653016090393      0.000244140625           0.1816042810678482       0.5342634916305542       0.23358777165412903      0.9724912643432617       2.4707083702087402       0.6503012180328369       1.6878529787063599       0.3843946158885956       0.30384597182273865      1.0                      
200                      0.19703090541892582      13172736                 18571.16438435581        0.0                      9.98536205291748         3211                     0.0                      11.241911888122559       581943                   0.028760485351085663     -0.010709631256759167    0.13531188666820526      0.9999777674674988       0.0                      1.0489976406097412       0.13103817403316498      64.11710357666016        1.0                      0.9996719360351562       1.6246670484542847       -2.53432559967041        0.0009941388852894306    0.16998571157455444      -0.19788692891597748     0.08155185729265213      -0.17184561491012573     0.07755281776189804      -0.026041315868496895    0.031765107065439224     -0.009360652416944504    0.02936623804271221      -0.016680661588907242    0.006324481219053268     0.8151035308837891       0.30680757761001587      1.374366044998169        2.4830427169799805       -0.0004416916926857084   0.0007113199098967016    0.003154940437525511     0.0039605856873095036    0.004402482882142067     0.0021481718868017197    0.06451442837715149      0.25695329904556274      0.4799695611000061       7.961273670196533        0.21325311064720154      0.0182783305644989       0.21135003864765167      0.4475633203983307       0.0                      0.16076673567295074      0.34933844208717346      0.17978867888450623      0.7502173781394958       2.2460782527923584       0.5867415070533752       1.3206467628479004       0.3910386860370636       0.31001609563827515      1.0                      
300                      0.2946143526501126       19726336                 18599.018440508025       0.0                      9.450291633605957        3611                     0.0                      10.676790237426758       612722                   0.028800779953598976     -0.005626488942652941    0.181427001953125        0.9997438788414001       0.0                      0.777988851070404        0.08947093039751053      43.31142044067383        1.0                      0.9839401245117188       1.74224054813385         -2.103722095489502       0.0024680430069565773    0.170035719871521        -0.1537364274263382      0.08290156722068787      -0.1318242996931076      0.07866238057613373      -0.021912135183811188    0.026424463838338852     -0.008193382993340492    0.024265360087156296     -0.013718752190470695    0.0055681150406599045    0.6657602787017822       0.26436325907707214      1.1741172075271606       2.4425997734069824       -0.0004708056221716106   0.0008640923770144582    0.00336289731785655      0.0018692476442083716    0.0031798151321709156    0.0012288594152778387    0.05867650359869003      0.1656644344329834       0.4317784905433655       7.696438789367676        0.2455756664276123       0.019573669880628586     0.20673182606697083      0.47010189294815063      0.001220703125           0.15961921215057373      0.21692222356796265      0.13036131858825684      0.5525867342948914       2.0226662158966064       0.5550612211227417       0.9658784866333008       0.39321333169937134      0.3165055513381958       1.0                      
400                      0.39083526598082646      26279936                 18677.900531576757       0.0                      9.410161018371582        3228                     0.0                      10.483251571655273       624095                   0.030141770839691162     -0.015080063603818417    0.18058167397975922      0.9992610216140747       0.0                      0.6426727175712585       0.07598331570625305      30.18877601623535        1.0                      0.9782524108886719       1.6508475542068481       -1.8825132846832275      -0.005923430435359478    0.17390583455562592      -0.13333193957805634     0.08262775093317032      -0.11414149403572083     0.0776742696762085       -0.01919044554233551     0.023428432643413544     -0.0074663409031927586   0.02124389261007309      -0.011724105104804039    0.005214819218963385     0.5671959519386292       0.24304504692554474      1.0459978580474854       2.166104555130005        -0.00044355052523314953  0.0008866849238984287    0.00316821807064116      0.0012223375961184502    0.0023788688704371452    0.000818445929326117     0.05480940267443657      0.12612159550189972      0.3786770701408386       7.600517749786377        0.2810790538787842       0.0217035673558712       0.19635233283042908      0.48536568880081177      0.00048828125            0.1512611210346222       0.16133497655391693      0.10191275924444199      0.42748814821243286      1.796779990196228        0.5220096707344055       0.7872275710105896       0.3927653133869171       0.324140340089798        1.0                      
500                      0.4881810145245658       32833536                 18682.468992672628       0.0                      9.297587394714355        3068                     0.0                      10.357573509216309       631649                   0.029871094971895218     -0.010588501580059528    0.1953125                0.9992946982383728       0.0                      0.5577584505081177       0.06918767839670181      21.30349349975586        1.0                      0.9764976501464844       1.5469566583633423       -1.7475495338439941      0.0022857266012579203    0.17308543622493744      -0.1255062222480774      0.08113544434309006      -0.10854905843734741     0.07697618752717972      -0.01695716194808483     0.02149844914674759      -0.0066224196925759315   0.019454775378108025     -0.010334741324186325    0.00466346088796854      0.5002546906471252       0.21736949682235718      0.9108133316040039       2.348332405090332        -0.00038458913331851363  0.000777287466917187     0.0027470653876662254    0.0009754374041222036    0.0019115209579467773    0.0006685672560706735    0.049298934638500214     0.10340528935194016      0.3412478566169739       7.498318195343018        0.29169899225234985      0.022128861397504807     0.18671351671218872      0.4647490084171295       0.001953125              0.13783548772335052      0.14500367641448975      0.08887681365013123      0.35838374495506287      1.6127113103866577       0.477197527885437        0.6896569728851318       0.3920902609825134       0.33181118965148926      1.0                      
600                      0.5841649653514226       39387136                 18729.07784623696        0.0                      9.112567901611328        3358                     0.0                      10.193864822387695       641762                   0.030845696106553078     -0.014721604995429516    0.2009735107421875       0.9998540282249451       0.0                      0.5011531710624695       0.06531167030334473      15.18649673461914        1.0                      0.9765281677246094       1.4713345766067505       -1.6695318222045898      0.0028490324039012194    0.17580941319465637      -0.12315738201141357     0.08383480459451675      -0.10741029679775238     0.07915808260440826      -0.015747088938951492    0.020633816719055176     -0.006278454326093197    0.018475491553544998     -0.00946863368153572     0.004523681476712227     0.45936185121536255      0.21300530433654785      0.863944411277771        2.6353697776794434       -0.00032829766860231757  0.0006076132412999868    0.002344983397051692     0.0008757166215218604    0.0016424087807536125    0.00061521225143224      0.04577338322997093      0.09344273805618286      0.31466737389564514      7.553967475891113        0.3070458769798279       0.023119226098060608     0.18504828214645386      0.4737800359725952       0.002197265625           0.1304246187210083       0.1291140913963318       0.08056420087814331      0.3113635182380676       1.4923579692840576       0.46095237135887146      0.61976158618927         0.39133220911026         0.3385951817035675       1.0                      
700                      0.6564215364058813       45940736                 19440.732589957144       0.0                      8.903121948242188        3427                     0.0                      10.018231391906738       653098                   0.025734204798936844     -0.009896987117826939    0.22096557915210724      0.9993991851806641       5.371102318463272e-08    0.4617714583873749       0.06297328323125839      10.936783790588379       1.0                      0.9758377075195312       1.4254029989242554       -1.6197843551635742      0.0013017354067415       0.1605905145406723       -0.12187974154949188     0.0824790894985199       -0.10672996938228607     0.07802721112966537      -0.01514977216720581     0.020434604957699776     -0.006248456425964832    0.01827501691877842      -0.008901316672563553    0.004314573481678963     0.4329124391078949       0.20539163053035736      0.8131012916564941       2.6050760746002197       -0.0002835783816408366   0.00048207162762992084   0.002025559777393937     0.0007364348275586963    0.0014618204440921545    0.000557455699890852     0.04671458899974823      0.08766704797744751      0.29374951124191284      7.5399017333984375       0.31428641080856323      0.02371499314904213      0.18127793073654175      0.4511120915412903       0.00048828125            0.12402692437171936      0.12101323902606964      0.07701084762811661      0.2917630076408386       1.39752995967865         0.4610118269920349       0.592691957950592        0.3905998766422272       0.34413087368011475      1.0                      
800                      0.7031856181224188       52494336                 20736.715348267317       0.0                      8.86411190032959         3444                     0.0                      9.900444984436035        660862                   0.022089168429374695     -0.006846088450402021    0.2376708984375          1.0000131130218506       1.9171258827554993e-05   0.4338374435901642       0.0613541305065155       7.964917182922363        1.0                      0.9737815856933594       1.398255705833435        -1.5943306684494019      0.0013965349644422531    0.1487712562084198       -0.12097461521625519     0.08273254334926605      -0.10647997260093689     0.07828538119792938      -0.014494644477963448    0.01957755535840988      -0.006060795858502388    0.017469869926571846     -0.00843384861946106     0.004145785700529814     0.40977048873901367      0.1972542703151703       0.7719128727912903       2.169645309448242        -0.0002781785442493856   0.0004683456791099161    0.001986989751458168     0.0006240727961994708    0.0013430017279461026    0.0005284011131152511    0.04723840951919556      0.08060206472873688      0.27744755148887634      7.582324504852295        0.3257352113723755       0.024507198482751846     0.18365883827209473      0.45733147859573364      0.002197265625           0.1176166906952858       0.11124110966920853      0.07237669825553894      0.2692682445049286       1.313735008239746        0.4506502151489258       0.5638214349746704       0.3898049294948578       0.34880954027175903      1.0                      
900                      0.7498088668452368       59047936                 21875.18068898739        0.0                      8.916170120239258        3185                     0.0                      9.898493766784668        660993                   0.025086363777518272     -0.015932699665427208    0.218841552734375        0.99932461977005         2.4447870600852184e-05   0.4154682755470276       0.06020604446530342      5.882162094116211        1.0                      0.9722557067871094       1.3742552995681763       -1.572891354560852       -0.003881137352436781    0.15854281187057495      -0.11913811415433884     0.0834161564707756       -0.10525387525558472     0.079051673412323        -0.013884235173463821    0.018992502242326736     -0.005807814188301563    0.016919445246458054     -0.008076420985162258    0.004056781996041536     0.3925136923789978       0.1929221898317337       0.7321075797080994       2.3504960536956787       -0.000263839028775692    0.00044580496614798903   0.001884564640931785     0.0005163855385035276    0.0013126840349286795    0.00047585717402398586   0.047565363347530365     0.07599350064992905      0.26476529240608215      7.714605331420898        0.34210970997810364      0.02560923993587494      0.18704330921173096      0.4648120403289795       0.005126953125           0.11480105668306351      0.09701137244701385      0.06589333713054657      0.24609830975532532      1.2544410228729248       0.4331152141094208       0.5362175107002258       0.38912370800971985      0.35285747051239014      1.0                      
