Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.004696625868479411     131072                   7752.137365941969        0.0                      300.0                    4096                     0.0                      0.0                      0                        2511.199951171875        -0.0023442332167178392   0.02115326002240181      1.0004615783691406       0.0                      5.018646240234375        1.479472279548645        152.70077514648438       0.625                    0.8813228607177734       -6.090643000788987e-05   -4.599327564239502       75.11119842529297        31.986936569213867       7.999652862548828        3.301128625869751        2.1459877490997314       1.7025949954986572       0.5028067231178284       1.7846640348434448       1.691665530204773        0.559480607509613        1.7171882390975952       0.3404446542263031       0.26750457286834717      1.0                      
100                      0.06916012956036462      13238272                 53170.77630064508        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.038687948137521744     -0.007302132435142994    0.10112457722425461      0.9996242523193359       0.0                      1.4623080492019653       0.170588880777359        96.03162384033203        1.0                      1.0                      1.209985613822937        -2.8318653106689453      0.03854849934577942      0.1977258026599884       0.11779019236564636      0.035229310393333435     2.071913719177246        1.7304425239562988       0.5084619522094727       1.8434044122695923       1.6524423360824585       0.5806721448898315       1.8008975982666016       0.3310154974460602       0.22938190400600433      1.0                      
200                      0.13293177088101704      26345472                 55052.20172848626        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.059464260935783386     -0.010796939954161644    0.10096130520105362      0.9992678761482239       0.0                      0.9828828573226929       0.10757213830947876      64.38218688964844        1.0                      1.0                      1.7388739585876465       -2.4928057193756104      0.0746593028306961       0.24491742253303528      0.17944923043251038      0.06735415011644363      1.9898347854614258       1.7177866697311401       0.49860838055610657      1.8731542825698853       1.6550153493881226       0.5866708159446716       1.8742040395736694       0.33232998847961426      0.23773163557052612      1.0                      
300                      0.1940684159596761       39452672                 56470.1654381136         0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.06536015123128891      -0.01105701643973589     0.127543643116951        0.9995962381362915       0.0                      0.7275036573410034       0.08002771437168121      44.256134033203125       1.0                      1.0                      1.9387149810791016       -2.211449384689331       0.10926905274391174      0.2578730881214142       0.2552589774131775       0.10191436111927032      1.9556959867477417       1.6902841329574585       0.4908938407897949       1.8518351316452026       1.616182565689087        0.5789417624473572       1.8713937997817993       0.33334746956825256      0.24685406684875488      1.0                      
400                      0.2558084997203615       52559872                 57073.80505497072        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.06671582162380219      -0.007569178938865662    0.126078799366951        0.9991266131401062       0.0                      0.5876240134239197       0.06971538811922073      31.103944778442383       1.0                      0.9999980926513672       1.942094326019287        -2.0257880687713623      0.06380864232778549      0.2795243561267853       0.3229846954345703       0.13528259098529816      1.7212315797805786       1.66036057472229         0.4826628565788269       1.8006311655044556       1.523388385772705        0.5587880611419678       1.8328003883361816       0.3337354362010956       0.25336652994155884      1.0                      
500                      0.3174318712949753       65667072                 57463.837071303155       0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.07210887223482132      -0.007223906461149454    0.12602844834327698      0.999825119972229        0.0                      0.5092424154281616       0.06680399924516678      22.118633270263672       1.0                      0.999969482421875        1.851684331893921        -1.8849583864212036      0.047330569475889206     0.2767682671546936       0.3728541135787964       0.17001131176948547      1.4920169115066528       1.585611343383789        0.4711480140686035       1.7286994457244873       1.4447157382965088       0.5528268218040466       1.8279839754104614       0.3337775766849518       0.25880950689315796      1.0                      
600                      0.3782144135899014       78774272                 57855.38952502386        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.06944341957569122      -0.007650744169950485    0.13374634087085724      0.9996921420097351       0.0                      0.45358386635780334      0.06476561725139618      15.852188110351562       1.0                      0.9998645782470703       1.7660036087036133       -1.8276687860488892      0.03167419135570526      0.26840218901634216      0.38864266872406006      0.18269960582256317      1.3239082098007202       1.5376780033111572       0.4626869261264801       1.6928348541259766       1.3804701566696167       0.5380098819732666       1.7819427251815796       0.3339700698852539       0.2638171911239624       1.0                      
700                      0.43855273571279313      91881472                 58197.40485629032        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.12349642813205719      -0.009335847571492195    0.158985897898674        0.9998796582221985       0.0                      0.4215843081474304       0.06384553015232086      11.446423530578613       1.0                      0.9996433258056641       1.7107371091842651       -1.758863091468811       0.1466335952281952       0.35790085792541504      0.44411396980285645      0.2571294903755188       0.9919905066490173       1.414872646331787        0.435540109872818        1.5999372005462646       1.3383709192276          0.519105851650238        1.7646023035049438       0.3338834047317505       0.2686893045902252       1.0                      
800                      0.49868577857812246      104988672                58480.75331755493        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.18281669914722443      -0.007853406481444836    0.13694153726100922      0.9997621774673462       3.4953955037053674e-06   0.40348267555236816      0.062089335173368454     8.325039863586426        1.0                      0.9990463256835938       1.6322519779205322       -1.7159110307693481      0.06791418790817261      0.4334005117416382       0.49684154987335205      0.33155590295791626      0.8236682415008545       1.2578215599060059       0.39914897084236145      1.4721875190734863       1.3279048204421997       0.5265891551971436       1.7633663415908813       0.33360913395881653      0.27238044142723083      1.0                      
900                      0.5604375894202126       118095872                58533.562894712166       0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.19468776881694794      -0.009427281096577644    0.14588318765163422      0.9998631477355957       3.5279100529805874e-08   0.39570504426956177      0.06133988872170448      6.114960670471191        1.0                      0.9964427947998047       1.560634970664978        -1.6456764936447144      0.07923954725265503      0.4468361437320709       0.5275144577026367       0.3614750802516937       0.7116161584854126       1.2095615863800049       0.3839586079120636       1.4120523929595947       1.2933300733566284       0.5160009860992432       1.7726719379425049       0.33360913395881653      0.27238044142723083      1.0                      
