Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_State_Rms           Disc_State_Rms_Norm      Disc_Level1_Rms          Disc_Level1_Rms_Norm     Disc_Level2_Rms          Disc_Level2_Rms_Norm     Disc_Area_Nonzero_Frac   Disc_Norm_Min_Scale_Frac Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0020588504605823094    131072                   17684.086137363895       0.0                      60.0                     4096                     0.0                      0.0                      0                        122.55166625976562       -0.0024755503982305527   0.02471466176211834      1.0001914501190186       0.0                      5.308779239654541        1.5786386728286743       170.773681640625         0.71875                  0.9402847290039062       0.002829203847795725     -2.200223684310913       1.2777312994003296       1.2777312994003296       0.4885609745979309       0.4885609745979309       0.0958857610821724       0.0958857610821724       0.6991389989852905       0.0                      14.263517379760742       6.406867980957031        1.4541606903076172       0.7595633268356323       0.5626893639564514       1.5687971115112305       0.45566025376319885      1.6199061870574951       1.72896146774292         0.6217833757400513       1.7763893604278564       0.3405187726020813       0.26744428277015686      1.0                      
100                      0.06986949112680223      13238272                 52630.95119877223        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.028394047170877457     -0.005916857626289129    0.11082763969898224      0.9997812509536743       0.0                      1.653141736984253        0.22887057065963745      105.63890075683594       1.0                      1.0                      1.3299881219863892       -3.6747565269470215      1.2306652069091797       1.1238703727722168       0.5138642191886902       1.185013771057129        0.10443919897079468      1.219768762588501        0.6642288565635681       0.03520207852125168      0.014928266406059265     0.17017586529254913      0.11330634355545044      0.148550882935524        0.5655627250671387       1.5361347198486328       0.4448980987071991       1.6076377630233765       1.7288870811462402       0.6352376937866211       1.8482669591903687       0.3300098478794098       0.2510691285133362       1.0                      
200                      0.1376315850019455       26345472                 53172.29084125726        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.1937541514635086       0.006440095603466034     0.15085601806640625      0.9994286894798279       0.0                      1.1043020486831665       0.15369048714637756      68.75596618652344        1.0                      0.9821815490722656       1.9504749774932861       -3.441087007522583       1.1832367181777954       1.0928062200546265       0.4964679181575775       1.1534384489059448       0.10641118884086609      1.2757368087768555       0.6383642554283142       0.03520207852125168      0.03490827605128288      0.45117059350013733      0.2463081181049347       0.3963276445865631       0.599770724773407        1.4500179290771484       0.4192679822444916       1.5617672204971313       1.698502540588379        0.6437574028968811       1.9443230628967285       0.33107638359069824      0.2562471330165863       1.0                      
300                      0.2048693139023251       39452672                 53493.00657481813        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.6055663824081421       0.0006846599280834198    0.17281189560890198      0.9988440871238708       0.0                      0.7683194279670715       0.09087961912155151      45.421295166015625       1.0                      0.9202079772949219       2.156127691268921        -3.2350292205810547      1.1555670499801636       1.0880546569824219       0.48452281951904297      1.1653661727905273       0.10993839800357819      1.4009063243865967       0.6244098544120789       0.03520207852125168      0.216803178191185        0.8372257947921753       0.4423430263996124       0.7015694975852966       0.5873415470123291       1.415040135383606        0.41005247831344604      1.5262435674667358       1.6568995714187622       0.643498957157135        2.0034596920013428       0.33221399784088135      0.26366862654685974      1.0                      
400                      0.2718421846628189       52559872                 53707.50114649644        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.534963846206665        -0.0019872437696903944   0.164530947804451        0.9987379312515259       0.0                      0.5870600342750549       0.06437218189239502      30.828893661499023       1.0                      0.8939380645751953       2.161512613296509        -3.1963584423065186      1.1138713359832764       1.0684157609939575       0.4651305079460144       1.1631486415863037       0.11053466796875         1.4899107217788696       0.6137672066688538       0.03520207852125168      0.32904163002967834      1.354823350906372        0.5350361466407776       0.8016778826713562       0.6158183813095093       1.4141712188720703       0.39541304111480713      1.474380373954773        1.5873422622680664       0.6441035270690918       1.9623193740844727       0.33247920870780945      0.27158987522125244      1.0                      
500                      0.33930130965179867      65667072                 53760.043991733044       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.231408715248108        -0.002195441396906972    0.16204224526882172      0.9989396333694458       0.0                      0.4772430658340454       0.050041019916534424     21.331592559814453       1.0                      0.8777828216552734       2.114520788192749        -3.1012206077575684      1.0704846382141113       1.0571918487548828       0.44768255949020386      1.158408284187317        0.1089346706867218       1.4837777614593506       0.6079844832420349       0.03520207852125168      0.2622126042842865       1.1887081861495972       0.5774461030960083       0.8335027098655701       0.6099655628204346       1.4084444046020508       0.37824276089668274      1.4258521795272827       1.4875363111495972       0.6462811827659607       1.8675012588500977       0.33200156688690186      0.27780431509017944      1.0                      
600                      0.40694382568200427      78774272                 53770.91588882133        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.0711921453475952       0.0030585366766899824    0.14914856851100922      0.9988707900047302       0.0                      0.41390809416770935      0.04435213282704353      14.991706848144531       1.0                      0.8704051971435547       2.0414514541625977       -3.0160627365112305      1.0184446573257446       0.9937835335731506       0.4164969325065613       1.091691255569458        0.10582795739173889      1.4034802913665771       0.5963491201400757       0.03520207852125168      0.2887749969959259       1.1069713830947876       0.615620493888855        0.8243268132209778       0.5380606055259705       1.3243980407714844       0.35794082283973694      1.3522751331329346       1.3553191423416138       0.6189988851547241       1.8308838605880737       0.33123689889907837      0.28276458382606506      1.0                      
700                      0.4756500420967738       91881472                 53658.42289974692        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.1687040328979492       0.004789458122104406     0.12326812744140625      0.9982571005821228       0.0                      0.37891656160354614      0.043539926409721375     10.70518684387207        1.0                      0.8716602325439453       1.9524205923080444       -2.8142058849334717      0.9343159198760986       0.9128460884094238       0.35526344180107117      0.9366422891616821       0.09067908674478531      1.2081843614578247       0.600877583026886        0.03520207852125168      0.48048827052116394      1.2531440258026123       0.6335885524749756       0.7725266814231873       0.5443787574768066       1.0859802961349487       0.30411383509635925      1.1155743598937988       1.1998268365859985       0.5898481011390686       1.5128798484802246       0.33092617988586426      0.2865622937679291       1.0                      
800                      0.543138281305631        104988672                53694.46603891525        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   2.4393978118896484       -0.0031006818171590567   0.12328338623046875      0.9990677237510681       0.0                      0.3597111105918884       0.04588247835636139      7.7800984382629395       1.0                      0.8859748840332031       1.8584160804748535       -2.527331829071045       0.8563186526298523       0.7701825499534607       0.27496176958084106      0.7522878050804138       0.07381096482276917      1.0167698860168457       0.6226872801780701       0.03520207852125168      0.5041479468345642       1.679451823234558        0.6065218448638916       0.6935919523239136       0.4633619487285614       0.5317864418029785       0.1647164523601532       0.5784065127372742       1.0680487155914307       0.5011072158813477       1.123575210571289        0.330957293510437        0.2889525294303894       1.0                      
900                      0.6104412705368466       118095872                53738.84511451753        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   3.104506492614746        -0.001763167791068554    0.14035339653491974      0.9992720484733582       4.2776619579854014e-07   0.3528420031070709       0.048273418098688126     5.762109756469727        1.0                      0.8928241729736328       1.7792829275131226       -2.2384700775146484      0.8149272203445435       0.6677834391593933       0.22794108092784882      0.6296077966690063       0.06423068791627884      0.8910946249961853       0.6380185484886169       0.03520207852125168      0.39586377143859863      1.868689775466919        0.6029658913612366       0.6511839628219604       0.4112393856048584       0.37737032771110535      0.120107002556324        0.4161585867404938       1.0271333456039429       0.4638337194919586       1.0352070331573486       0.330957293510437        0.2889525294303894       1.0                      
