Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_State_Rms           Disc_State_Rms_Norm      Disc_Level1_Rms          Disc_Level1_Rms_Norm     Disc_Level2_Rms          Disc_Level2_Rms_Norm     Disc_Area_Nonzero_Frac   Disc_Norm_Min_Scale_Frac Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0019749826192855834    131072                   18435.04268511446        0.0                      60.0                     4096                     0.0                      0.0                      0                        121.49885559082031       -0.002480613999068737    0.02360382117331028      1.0002467632293701       0.0                      5.310434341430664        1.579389214515686        170.77462768554688       0.75                     0.9387454986572266       0.00285420473664999      -2.2118515968322754      1.2777312994003296       1.2777312994003296       0.4885609745979309       0.4885609745979309       0.1096375435590744       0.1096375435590744       0.7003477811813354       0.0                      14.324159622192383       6.270130157470703        1.4555585384368896       0.746933102607727        0.5628070831298828       1.5689926147460938       0.45568159222602844      1.6199558973312378       1.7289683818817139       0.6218147873878479       1.7764025926589966       0.3405187726020813       0.26744428277015686      1.0                      
100                      0.07117833978599972      13238272                 51663.15748349439        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.035268135368824005     -0.011670822277665138    0.09916839748620987      0.9995781183242798       0.0                      1.619337797164917        0.21359793841838837      105.91373443603516       1.0                      1.0                      1.3433339595794678       -3.90269136428833        1.2629001140594482       1.1534603834152222       0.5282071232795715       1.2200462818145752       0.10632732510566711      1.4522062540054321       0.6438942551612854       0.03520207852125168      0.05709173530340195      0.18732739984989166      0.08684567362070084      0.12061326950788498      0.562791645526886        1.6092720031738281       0.463797390460968        1.6789112091064453       1.741786241531372        0.6347213387489319       1.8506848812103271       0.3287745714187622       0.25254032015800476      1.0                      
200                      0.13924302279949188      26345472                 52556.936207889994       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.09353259205818176      0.011603351682424545     0.13709259033203125      0.9995164275169373       0.0                      1.0850728750228882       0.14982080459594727      69.16883850097656        1.0                      0.9914970397949219       1.9944027662277222       -3.610194206237793       1.2387784719467163       1.1064461469650269       0.5207464098930359       1.169326663017273        0.1018705740571022       1.3561673164367676       0.6275489330291748       0.03520207852125168      0.057790547609329224     0.3107979893684387       0.16712522506713867      0.29199838638305664      0.5830339193344116       1.5227934122085571       0.4474266767501831       1.6213873624801636       1.7480388879776          0.6628178358078003       1.9475749731063843       0.32926905155181885      0.2577175199985504       1.0                      
300                      0.20623248643345304      39452672                 53139.42407949304        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.43235576152801514      0.007539136800915003     0.14793549478054047      0.9989425539970398       0.0                      0.7594311237335205       0.09821893274784088      45.40024948120117        1.0                      0.9489803314208984       2.2585320472717285       -3.319880962371826       1.208645224571228        1.085776448249817        0.5150461792945862       1.148789882659912        0.10010908544063568      1.3825584650039673       0.6102278232574463       0.03520207852125168      0.13671404123306274      0.6808672547340393       0.3367936611175537       0.5909244418144226       0.6033347845077515       1.4521225690841675       0.4322970509529114       1.5956543684005737       1.7195916175842285       0.6726239323616028       2.040121078491211        0.3297204077243805       0.26443326473236084      1.0                      
400                      0.27282976892259386      52559872                 53513.09170586398        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.1531145572662354       0.0013613931369036436    0.15325164794921875      0.9986802935600281       0.0                      0.5623142719268799       0.06407712399959564      30.5430908203125         1.0                      0.9183025360107422       2.2817342281341553       -3.2531960010528564      1.1647889614105225       1.0856763124465942       0.49650588631629944      1.1632599830627441       0.09736627340316772      1.4664511680603027       0.6029810905456543       0.03520207852125168      0.35805636644363403      1.211405873298645        0.4553678333759308       0.7532719373703003       0.576788067817688        1.431034803390503        0.42297399044036865      1.5709551572799683       1.6774919033050537       0.6542624235153198       2.087878704071045        0.3304625451564789       0.2717619836330414       1.0                      
500                      0.339220709072219        65667072                 53772.81765380048        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.6204912662506104       0.000475230161100626     0.14330291748046875      0.9991364479064941       0.0                      0.45744284987449646      0.050136223435401917     21.060791015625          1.0                      0.8966827392578125       2.219688892364502        -3.141336441040039       1.115936040878296        1.0401556491851807       0.4641038477420807       1.1301565170288086       0.09119997173547745      1.3864023685455322       0.5927673578262329       0.03520207852125168      0.2353505939245224       1.3697251081466675       0.5202863812446594       0.8011876344680786       0.5765835046768188       1.40966796875            0.4035559892654419       1.4762639999389648       1.5848162174224854       0.6494979858398438       1.9867266416549683       0.3308635652065277       0.27881312370300293      1.0                      
600                      0.40563362108336554      78774272                 53944.59700796128        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.434481143951416        -0.00011373437155270949  0.141185000538826        0.999494194984436        0.0                      0.3985700011253357       0.04504774138331413      14.800556182861328       1.0                      0.8932132720947266       2.1116700172424316       -2.9449262619018555      1.040602445602417        0.9589414596557617       0.41891583800315857      1.0246917009353638       0.08180931210517883      1.1768304109573364       0.5788733959197998       0.03520207852125168      0.23932352662086487      1.2804454565048218       0.5566877126693726       0.7720805406570435       0.5391678214073181       1.3762823343276978       0.3798123598098755       1.3857195377349854       1.439258337020874        0.6149904131889343       1.8245327472686768       0.3304694592952728       0.2839110791683197       1.0                      
700                      0.4724247779448827       91881472                 54024.751246406486       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.3222280740737915       0.004065450746566057     0.1414443999528885       0.9987151026725769       0.0                      0.3654973804950714       0.043813832104206085     10.585713386535645       1.0                      0.8940010070800781       2.010178565979004        -2.7506959438323975      0.9812003374099731       0.9251139760017395       0.37339770793914795      0.9746055006980896       0.07583807408809662      1.0962958335876465       0.5565686821937561       0.03520207852125168      0.2906830906867981       1.2273095846176147       0.5812405347824097       0.7338616847991943       0.5262600183486938       1.2682667970657349       0.3526773750782013       1.2785948514938354       1.3130096197128296       0.578719973564148        1.655622959136963        0.32972270250320435      0.2876732349395752       1.0                      
800                      0.5388499271207385       104988672                54121.785180209205       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   2.281399965286255        -0.001304769772104919    0.14579926431179047      0.9993814826011658       0.0                      0.35137876868247986      0.04548473283648491      7.732691287994385        1.0                      0.9044761657714844       1.901581048965454        -2.538362741470337       0.9149577617645264       0.8318669199943542       0.3290872275829315       0.8778496384620667       0.06878047436475754      1.0030533075332642       0.5473615527153015       0.03520207852125168      0.23513458669185638      1.60430908203125         0.593734085559845        0.6663054823875427       0.4869323968887329       0.8539257049560547       0.24593167006969452      0.8602319955825806       1.1765429973602295       0.5335349440574646       1.38484787940979         0.3296009600162506       0.29005077481269836      1.0                      
900                      0.6051985680394703       118095872                54204.37294681343        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   5.116055488586426        -0.001914544845931232    0.15684814751148224      0.9995223879814148       0.0                      0.35498130321502686      0.04999227076768875      5.794424057006836        1.0                      0.9250926971435547       1.749432921409607        -2.2150113582611084      0.8364472389221191       0.67096346616745         0.2296714335680008       0.6288878917694092       0.0546325258910656       0.7899923324584961       0.5685051679611206       0.03520207852125168      0.2689414620399475       2.310556173324585        0.5845808982849121       0.570098876953125        0.43318459391593933      0.4399249255657196       0.13891276717185974      0.47364839911460876      1.078072190284729        0.46175116300582886      1.0595654249191284       0.3296009600162506       0.29005077481269836      1.0                      
