Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Aux_Loss            Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_State_Neg_Logit     Disc_Motion_Neg_Logit    Disc_Rot_Neg_Logit       Disc_Rot_Pos_Logit       Disc_Rot_Neg_Acc         Disc_Rot_Pos_Acc         Disc_Anchor              Disc_D_State             Disc_D_Motion            Disc_D_Rot               Disc_W_State             Disc_W_Motion            Disc_W_Rot               Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0022226868735419378    65536                    8190.287467453729        0.0                      60.0                     2048                     0.0                      0.0                      0                        221.63760375976562       -0.003918307367712259    0.037841796875           1.0005759000778198       0.0                      4.942355155944824        0.46581846475601196      262.3040771484375        1.7428836822509766       0.1875                   0.8679695129394531       -0.0012345433933660388   -1.2696735858917236      -1.2497541904449463      -1.0896484851837158      -0.9572647213935852      -0.008130990900099277    0.9824142456054688       0.0                      -0.0012345433933660388   1.2527259588241577       1.0911041498184204       0.9491336941719055       0.3560510575771332       0.327138751745224        0.31681016087532043      19.786731719970703       8.886163711547852        2.104912757873535        0.45397046208381653      0.565497100353241        1.5627896785736084       0.45423373579978943      1.6172291040420532       1.7277039289474487       0.6190376877784729       1.7755110263824463       0.3407522439956665       0.26749688386917114      1.0                      
100                      0.08355014615588718      6619136                  22006.531089225777       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.03984179347753525      -0.010325578972697258    0.15195922553539276      0.9996069073677063       0.0                      2.5457239151000977       0.12667107582092285      184.55702209472656       0.5729802846908569       1.0                      1.0                      1.1320128440856934       -3.63374924659729        -3.522857904434204       -4.724853992462158       -1.9528300762176514      0.8452966809272766       0.9208221435546875       1.0                      1.1320128440856934       4.959014892578125        5.8394389152526855       2.7981269359588623       0.35383933782577515      0.4388282299041748       0.20733243227005005      -0.015788506716489792    0.20122790336608887      0.10942525416612625      0.1483347862958908       0.5586446523666382       1.5306540727615356       0.44169703125953674      1.5957117080688477       1.6972970962524414       0.6281660795211792       1.7731724977493286       0.32969191670417786      0.25018510222435         1.0                      
200                      0.16461966428491803      13172736                 22227.55919973388        0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.11163714528083801      0.000954586488660425     0.16818542778491974      0.9990643858909607       0.0                      1.88673996925354         0.11731908470392227      130.98016357421875       0.4660993218421936       1.0                      0.9967994689941406       1.737979531288147        -3.7058136463165283      -3.652219533920288       -4.782879829406738       -1.6781939268112183      1.2116386890411377       0.8396759033203125       1.0                      1.737979531288147        5.966829776763916        6.470568656921387        2.8898327350616455       0.3849503993988037       0.43546968698501587      0.17957989871501923      0.02460310235619545      0.34142959117889404      0.16541919112205505      0.263392835855484        0.5664029121398926       1.4144458770751953       0.417962908744812        1.5097376108169556       1.6676499843597412       0.621737539768219        1.8368556499481201       0.3305675983428955       0.2532784342765808       1.0                      
300                      0.24660944753222996      19726336                 22219.496587054495       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.33448854088783264      -0.0010148383444175124   0.17230224609375         0.9982494711875916       0.0                      1.4840264320373535       0.10885784029960632      93.19266510009766        0.46597564220428467      1.0                      0.9826736450195312       2.0439743995666504       -3.717425584793091       -3.73001766204834        -4.673074722290039       -1.5761908292770386      1.3502721786499023       0.7831649780273438       1.0                      2.0439743995666504       6.5042877197265625       6.680455207824707        2.926462411880493        0.40660786628723145      0.42520904541015625      0.1681831181049347       0.13515585660934448      0.6095787882804871       0.23518630862236023      0.4003421366214752       0.5524920225143433       1.354616641998291        0.4043402671813965       1.478090524673462        1.670232892036438        0.6089779138565063       1.879753589630127        0.3316459059715271       0.25918108224868774      1.0                      
400                      0.32737528893682694      26279936                 22298.513262651562       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.6073275804519653       -0.000686945510096848    0.18854676187038422      0.9980743527412415       0.0                      1.212964653968811        0.09470320492982864      66.68030548095703        0.4953816533088684       1.0                      0.95806884765625         2.1593921184539795       -3.709120750427246       -3.812997341156006       -4.521315574645996       -1.5503251552581787      1.3960766792297363       0.7528953552246094       1.0                      2.1593921184539795       6.724545478820801        6.691865921020508        2.946401834487915        0.4182809293270111       0.4162256419658661       0.16549336910247803      0.18525338172912598      0.8196069002151489       0.30704861879348755      0.5214586853981018       0.5340244174003601       1.3444840908050537       0.3975679874420166       1.46930992603302         1.6471352577209473       0.6072725057601929       1.8743486404418945       0.3321346044540405       0.26590675115585327      1.0                      
500                      0.4078730481200748       32833536                 22360.944682919282       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.7967062592506409       -0.004036754369735718    0.19806213676929474      0.997954785823822        3.416768024067096e-08    1.0222676992416382       0.08556298911571503      48.17920684814453        0.512575626373291        1.0                      0.94970703125            2.174086332321167        -3.72346830368042        -3.9355738162994385      -4.4279937744140625      -1.5131851434707642      1.3981010913848877       0.7420768737792969       1.0                      2.174086332321167        6.820398807525635        6.667325973510742        2.911285877227783        0.4252106547355652       0.4109991192817688       0.1637902408838272       0.0985862985253334       0.917966902256012        0.3124852776527405       0.5360684990882874       0.5100286602973938       1.334875226020813        0.39224010705947876      1.4338434934616089       1.6369612216949463       0.6044478416442871       1.8489164113998413       0.33154770731925964      0.27217745780944824      1.0                      
600                      0.4886230885982513       39387136                 22391.228262458873       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.8429406881332397       -0.0098346509039402      0.18314515054225922      0.99874347448349         9.991917977458797e-07    0.9093937277793884       0.08210501819849014      35.259273529052734       0.5422256588935852       1.0                      0.9382781982421875       2.1580684185028076       -3.6612389087677         -3.9744327068328857      -4.2613701820373535      -1.4485282897949219      1.3843568563461304       0.7199172973632812       1.0                      2.1580684185028076       6.798348426818848        6.527303695678711        2.832885503768921        0.4311928153038025       0.40482038259506226      0.16398678719997406      0.06048434600234032      0.9300815463066101       0.35458648204803467      0.5685529708862305       0.5063610076904297       1.313381552696228        0.3829793632030487       1.3928985595703125       1.6245332956314087       0.6039336919784546       1.7896500825881958       0.33066093921661377      0.2781904935836792       1.0                      
700                      0.5701112457778719       45940736                 22383.9042819507         0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.8563040494918823       0.005509873386472464     0.17850342392921448      0.998529851436615        1.4907406864494988e-07   0.8281330466270447       0.07892270386219025      26.222965240478516       0.5635318756103516       1.0                      0.9392433166503906       2.1235544681549072       -3.5987930297851562      -3.9925973415374756      -4.109154224395752       -1.3824163675308228      1.3397866487503052       0.6971778869628906       1.0                      2.1235544681549072       6.752695560455322        6.3799333572387695       2.722203254699707        0.4367210566997528       0.39981624484062195      0.16346271336078644      0.1615409255027771       0.9588126540184021       0.3707430958747864       0.5570623874664307       0.5517809391021729       1.2073612213134766       0.352311909198761        1.2495360374450684       1.5533422231674194       0.6020696759223938       1.5237784385681152       0.33037975430488586      0.2831895053386688       1.0                      
800                      0.6509215832418865       52494336                 22401.715314732966       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.8741622567176819       0.0024538568686693907    0.21089783310890198      0.9968920946121216       9.82008585559413e-10     0.7814387679100037       0.08082325756549835      19.902973175048828       0.5809838175773621       1.0                      0.9432487487792969       2.073362112045288        -3.58223819732666        -3.999361038208008       -4.037333011627197       -1.337201714515686       1.2630398273468018       0.6940078735351562       1.0                      2.073362112045288        6.695652484893799        6.298088550567627        2.6002418994903564       0.43814921379089355      0.3990735113620758       0.16277730464935303      0.1926642656326294       0.9885995984077454       0.3656215965747833       0.5264557600021362       0.5108876824378967       1.0636354684829712       0.31194037199020386      1.1041101217269897       1.4768986701965332       0.585974395275116        1.3987972736358643       0.3301905691623688       0.2875960171222687       1.0                      
900                      0.7323442959785461       59047936                 22396.848769782653       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   3.0337939262390137       -0.0029423339292407036   0.21548156440258026      0.9986098408699036       1.8370075460794055e-09   0.7720138430595398       0.08964768052101135      15.510444641113281       0.6021154522895813       1.0                      0.9570960998535156       1.993962287902832        -3.362360954284668       -3.796715021133423       -3.738387107849121       -1.2673691511154175      1.178875207901001        0.6713180541992188       1.0                      1.993962287902832        6.390143871307373        5.947971343994141        2.446244478225708        0.43776971101760864      0.39419957995414734      0.16803070902824402      0.20138733088970184      1.8099335432052612       0.37105292081832886      0.451824814081192        0.4837116003036499       0.5502951145172119       0.17566603422164917      0.6184964179992676       1.2456353902816772       0.49812012910842896      1.1100918054580688       0.32986584305763245      0.29181283712387085      1.0                      
