Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0014803859260347153    131072                   24594.18739977611        0                        2715.0595703125          0.0                      10.0                     4096                     0.0                      10.689041137695312       10355                    28.09154510498047        54.262428283691406       -0.002652023686096072    0.02445678785443306      1.0002938508987427       0.0                      3.275686025619507        0.005898174364119768     0.0010262785945087671    0.0                      0.604168176651001        0.7038398385047913       0.6938399076461792       0.0                      1.0                      0.009999998845160007     0.0                      0.4393482208251953       -3.2515959901502356e-05  0.0026667381171137094    146.0                    1022.0                   0.25207942724227905      6.614481449127197        3.2339859008789062       1.3942809104919434       0.01703810878098011      0.1946604698896408       0.27051398158073425      0.16799217462539673      0.7313194274902344       1.9303990602493286       0.6742597222328186       1.3682200908660889       0.38421815633773804      0.2450665533542633       1.0                      
100                      0.06838043219513364      13238272                 54423.05184475361        0                        2745.08251953125         0.0                      11.0                     4096                     0.0                      12.911720275878906       1012511                  0.8201689720153809       1.237284541130066        -0.008374660275876522    0.12273559719324112      0.9998580813407898       0.0                      5.286556243896484        0.010660401545464993     0.001379727153107524     0.0                      0.8809985518455505       0.5552560091018677       0.5452559590339661       0.0                      1.0                      0.009999998845160007     1.0                      0.9783916473388672       0.2212001234292984       -0.44809266924858093     146.0                    1022.0                   0.12178465723991394      0.03235930949449539      0.9128103852272034       1.0441886186599731       0.19190871715545654      0.15113580226898193      0.25241050124168396      0.14594541490077972      0.6732720136642456       1.9237455129623413       0.5343732833862305       1.3436349630355835       0.37674814462661743      0.23808211088180542      1.0                      
200                      0.13416925330956778      26345472                 55342.305627455775       0                        2745.08251953125         0.0                      38.0                     4096                     0.0                      25.077701568603516       519285                   5.105397701263428        8.322521209716797        -0.0050592683255672455   0.09331054985523224      0.9995136260986328       0.0                      5.663315296173096        0.00824091024696827      0.0012130922405049205    0.0                      1.3273077011108398       0.5227805972099304       0.5127805471420288       0.0                      1.0                      0.009999998845160007     1.0                      0.9433135986328125       0.3648401200771332       -0.46938982605934143     146.0                    1022.0                   0.09464859217405319      0.17733389139175415      2.2729077339172363       0.9946323037147522       0.24254263937473297      0.3634341061115265       0.2928413450717926       0.13253594934940338      0.5627159476280212       2.0251307487487793       0.43154045939445496      0.9226910471916199       0.36909785866737366      0.24662365019321442      1.0                      
300                      0.19983657909764183      39452672                 55444.726218919954       0                        2745.08251953125         0.0                      60.0                     4096                     0.0                      52.684261322021484       246532                   7.356780529022217        113.21951293945312       -0.026951944455504417    0.08318024128675461      1.000317931175232        0.0                      4.803762912750244        0.00850612297654152      0.001232457929290831     0.0                      1.2374930381774902       0.5309259295463562       0.5209259390830994       0.0                      1.0                      0.009999998845160007     1.0                      0.9679584503173828       0.3928244709968567       -0.38686269521713257     146.0                    1022.0                   0.08244431018829346      0.5990557670593262       2.6922452449798584       1.1102283000946045       0.13505439460277557      0.17457857728004456      0.17501197755336761      0.11046532541513443      0.5051782131195068       2.042267084121704        0.350579172372818        0.8986209034919739       0.36473360657691956      0.25470778346061707      1.0                      
400                      0.2645044261879391       52559872                 56301.603856838345       0                        2745.16455078125         0.0                      59.986331939697266       4096                     0.0                      57.93148422241211        224395                   3.050527334213257        16.88794708251953        -0.018508397042751312    0.08508910983800888      1.000062108039856        8.811779639295025e-10    3.762895345687866        0.006999548524618149     0.0011179994326084852    0.0                      1.046141505241394        0.5454959869384766       0.5354960560798645       0.0                      1.0                      0.009999999776482582     1.0                      0.9881324768066406       0.3634796440601349       -0.34090736508369446     146.0                    1022.0                   0.08334652334451675      0.04405650496482849      1.7640615701675415       1.1688649654388428       0.11258228123188019      0.11180663853883743      0.11685717850923538      0.1033734679222107       0.4453987777233124       1.8926447629928589       0.2986082434654236       0.6422622799873352       0.3621443808078766       0.26014775037765503      1.0                      
500                      0.3288430165582233       65667072                 56589.74518668441        0                        2745.16455078125         0.0                      60.0                     4096                     0.0                      58.190364837646484       223314                   3.5423595905303955       20.0788631439209         0.007006262429058552     0.08299560844898224      0.9998543858528137       8.599762622907292e-06    3.5123870372772217       0.00725245987996459      0.001138018909841776     0.0003226144181098789    1.1873550415039062       0.5581650733947754       0.5481650829315186       0.0                      1.0                      0.009999998845160007     1.0                      0.9920635223388672       0.3284149169921875       -0.31152382493019104     146.0                    1022.0                   0.08137840777635574      0.05233081802725792      1.9281569719314575       1.165451169013977        0.1251528561115265       0.07797521352767944      0.09077203273773193      0.09258586168289185      0.3913281559944153       1.793972134590149        0.2593081593513489       0.5877357125282288       0.3600439131259918       0.264927476644516        1.0                      
600                      0.3936201371086968       78774272                 56206.62536122343        0                        2745.16455078125         0.0                      60.0                     4096                     0.0                      59.75160598754883        217765                   2.347041606903076        27.994876861572266       -0.019871296361088753    0.08596038818359375      1.0002034902572632       2.5600440494599752e-05   4.128873825073242        0.007304346654564142     0.0011420825030654669    0.0009242466767318547    1.588126540184021        0.5635515451431274       0.5535516142845154       0.0                      1.0                      0.009999998845160007     1.0                      0.9927234649658203       0.3105200231075287       -0.30280494689941406     146.0                    1022.0                   0.08204787224531174      0.005351617932319641     1.5607959032058716       1.1448476314544678       0.13825103640556335      0.06090296804904938      0.08200816065073013      0.08518792688846588      0.34400835633277893      1.6729332208633423       0.23139698803424835      0.5660573244094849       0.3582206964492798       0.2688489854335785       1.0                      
700                      0.4549149045017031       91881472                 59399.97389108377        0                        2745.16455078125         0.0                      60.0                     4096                     0.0                      59.97262191772461        217148                   0.9797377586364746       24.397254943847656       -0.0037644493859261274   0.0946807861328125       0.9998776316642761       4.372174589661881e-05    5.343573570251465        0.008024407550692558     0.0011970531195402145    0.001674107275903225     2.3242385387420654       0.5664403438568115       0.5564404129981995       0.0                      1.0                      0.009999998845160007     1.0                      0.9927730560302734       0.30035683512687683      -0.3003992438316345      146.0                    1022.0                   0.08204059302806854      0.04730822890996933      1.0616408586502075       1.1441683769226074       0.14757563173770905      0.053212761878967285     0.07501914352178574      0.07971471548080444      0.3079083263874054       1.5992897748947144       0.21486948430538177      0.5248278379440308       0.3570970296859741       0.27242130041122437      1.0                      
800                      0.5156959103213417       104988672                59902.00376495939        0                        2745.16455078125         0.0                      59.958988189697266       4096                     0.0                      59.98193359375           217118                   0.8820194005966187       14.465555191040039       -0.013860778883099556    0.09954833984375         1.000006079673767        3.397525870241225e-05    5.516963958740234        0.007228822447359562     0.00113616359885782      0.0012904576724395156    2.0850777626037598       0.5699471235275269       0.55994713306427         0.0                      1.0                      0.009999998845160007     1.0                      0.99359130859375         0.29293137788772583      -0.29175564646720886     146.0                    1022.0                   0.08353614807128906      0.03153867647051811      0.9617964625358582       1.1432702541351318       0.15257129073143005      0.05024439096450806      0.07004591822624207      0.07534225285053253      0.28749731183052063      1.5174405574798584       0.20877587795257568      0.5009140372276306       0.3566593527793884       0.2746029496192932       1.0                      
900                      0.5753205420573553       118095872                61063.76246610886        0                        2745.16455078125         0.0                      59.986331939697266       4096                     0.0                      59.98967361450195        217104                   0.8328273296356201       44.568721771240234       -0.011703170835971832    0.10231933742761612      1.0003793239593506       3.5825869417749345e-05   6.09611177444458         0.009102349169552326     0.0012749198358505964    0.0014038087101653218    3.4209582805633545       0.5749801397323608       0.564980149269104        0.0                      1.0                      0.009999998845160007     1.0                      0.99456787109375         0.28043708205223083      -0.2805752456188202      146.0                    1022.0                   0.08347023278474808      0.00590088963508606      0.9570167064666748       1.1460922956466675       0.15334725379943848      0.047833289951086044     0.06659838557243347      0.07032601535320282      0.2681977450847626       1.4380472898483276       0.1945304572582245       0.49892184138298035      0.3566593527793884       0.2746029496192932       1.0                      
