Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0024893160661061606    262144                   29252.122207077082       0.0                      60.0                     8192                     0.0                      0.0                      0                        317.8227844238281        -0.0037842553574591875   0.029424285516142845     1.0006792545318604       0.0                      5.289987564086914        1.5593236684799194       174.58287048339844       0.78125                  0.9458799362182617       0.003799276426434517     -3.5132851600646973      23.298503875732422       12.636221885681152       2.6397500038146973       2.3800082206726074       0.5708672404289246       1.5723814964294434       0.45613184571266174      1.6158043146133423       1.738242745399475        0.6274328231811523       1.7948302030563354       0.09160172194242477      0.43263670802116394      1.0                      
100                      0.10602669530444675      26476544                 69365.50775667818        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   0.1297796219587326       -0.015125143341720104    0.0768890380859375       0.999800980091095        0.0                      1.6504876613616943       0.2099788784980774       110.54467010498047       1.0                      1.0                      1.618575930595398        -2.7316532135009766      0.09717360138893127      0.35972145199775696      0.1495646834373474       0.07148569822311401      0.5522651076316833       1.5642338991165161       0.45617952942848206      1.6197173595428467       1.797058343887329        0.6264334917068481       1.8136146068572998       0.08020543307065964      0.4162198007106781       1.0                      
200                      0.20671449965900845      52690944                 70804.77352811323        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   0.3149454593658447       -0.01114294771105051     0.09844817966222763      0.9998003840446472       0.0                      1.1107696294784546       0.12300295382738113      73.86998748779297        1.0                      0.9933452606201172       2.0032079219818115       -2.2369706630706787      0.143806591629982        0.5728005766868591       0.3029462397098541       0.26296985149383545      0.5606013536453247       1.4965667724609375       0.44071078300476074      1.558178424835205        1.756578803062439        0.629579484462738        1.815306544303894        0.08087364584207535      0.4175184965133667       1.0                      
300                      0.30520291447639464      78905344                 71815.01247690847        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   0.43257758021354675      -0.010109762661159039    0.11312561482191086      0.999453067779541        0.0                      0.831142246723175        0.08824772387742996      50.88262939453125        1.0                      0.9627342224121094       1.9454904794692993       -2.0990519523620605      0.1558677703142166       0.6718565225601196       0.4094312787055969       0.42922884225845337      0.5490695238113403       1.4333964586257935       0.4183979034423828       1.4844188690185547       1.6929035186767578       0.6168279051780701       1.8102055788040161       0.08201229572296143      0.41695597767829895      1.0                      
400                      0.40406832847330304      105119744                72264.82956289938        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   0.4571819603443146       -0.008081802166998386    0.114288330078125        0.9997723698616028       0.0                      0.6717655062675476       0.0741298645734787       35.545467376708984       1.0                      0.9430971145629883       1.830574631690979        -1.9727423191070557      0.07000698894262314      0.6845425963401794       0.47646504640579224      0.5052868723869324       0.5489393472671509       1.34342622756958         0.39902448654174805      1.403647780418396        1.6414827108383179       0.6267836093902588       1.825771450996399        0.08256464451551437      0.41749051213264465      1.0                      
500                      0.5036246369282404       131334144                72438.28834343703        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   0.6227635741233826       -0.00488051725551486     0.127238467335701        0.9995561838150024       0.0                      0.5762484073638916       0.06685974448919296      25.042922973632812       1.0                      0.9317541122436523       1.69792902469635         -1.8223000764846802      0.137311190366745        0.8070577383041382       0.5362507104873657       0.5134794116020203       0.4971839487552643       1.2860583066940308       0.3790741562843323       1.3285648822784424       1.5124449729919434       0.5997591614723206       1.800970196723938        0.08256464451551437      0.41749051213264465      1.0                      
600                      0.6029905684126748       157548544                72577.39463429482        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   0.9824993014335632       -0.008535115048289299    0.1099853515625          0.9997367262840271       0.0                      0.5130751729011536       0.06287579983472824      17.78571128845215        1.0                      0.9250288009643555       1.5961110591888428       -1.7252427339553833      0.11263225227594376      1.0080885887145996       0.5631898641586304       0.504146158695221        0.4500097632408142       1.2431209087371826       0.3673830032348633       1.284740924835205        1.4307646751403809       0.5818693041801453       1.7982145547866821       0.08256464451551437      0.41749051213264465      1.0                      
700                      0.7022208710511525       183762944                72691.17784239695        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   1.2297357320785522       -0.006185060366988182    0.140177920460701        0.9994039535522461       0.0                      0.4724356532096863       0.06027304381132126      12.760933876037598       1.0                      0.9248285293579102       1.5129144191741943       -1.6449851989746094      0.08106429129838943      1.127060890197754        0.5885297060012817       0.48630765080451965      0.4235961139202118       1.1883931159973145       0.3491273522377014       1.2199665307998657       1.3761813640594482       0.5915738940238953       1.7652091979980469       0.08256464451551437      0.41749051213264465      1.0                      
800                      0.8018004504839579       209977344                72745.08260103177        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   0.9534352421760559       -0.007179213222116232    0.12290038913488388      0.9997129440307617       0.0                      0.4488464593887329       0.05877862498164177      9.270859718322754        1.0                      0.924036979675293        1.446504831314087        -1.557310700416565       0.0846598818898201       0.9904550909996033       0.625450611114502        0.47645458579063416      0.3984432816505432       1.1231213808059692       0.3265310525894165       1.1451671123504639       1.3065780401229858       0.5591641664505005       1.7644352912902832       0.08256464451551437      0.41749051213264465      1.0                      
900                      0.9015353235271242       236191744                72774.53923945314        0.0                      60.0                     8192                     0.0                      59.999996185302734       434176                   0.8559278845787048       -0.005392291583120823    0.13545913994312286      0.9997930526733398       4.9470399998696735e-11   0.4383282959461212       0.058281105011701584     6.84229850769043         1.0                      0.9246702194213867       1.3852410316467285       -1.471774697303772       0.10924302041530609      0.9407530426979065       0.6666250228881836       0.4697863757610321       0.3881599009037018       1.0592819452285767       0.3095428943634033       1.0862611532211304       1.25364351272583         0.5333926677703857       1.7402409315109253       0.08256464451551437      0.41749051213264465      1.0                      
