Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0022621521684858532    131072                   16094.800958177264       0                        2477.86376953125         0.0                      10.715980529785156       4299                     0.0                      10.799610137939453       10225                    791.15869140625          904.2133178710938        -0.003957451321184635    0.03716735914349556      1.0008313655853271       0.0                      3.3910012245178223       0.007150343153625727     0.0011299783363938332    0.0                      0.554661750793457        6.516269683837891        2.2368600368499756       152.52565002441406       0.6875                   0.9081707000732422       0.0018381992122158408    -4.16202974319458        17.897512435913086       38.05754852294922        20.14759635925293        8.212692260742188        3.538597345352173        0.1533757746219635       0.2898637652397156       0.16135059297084808      0.717473566532135        2.095581293106079        0.6058335304260254       1.3325135707855225       0.3838110566139221       0.24470637738704681      1.0                      
100                      0.12773518204689027      13238272                 29017.38353962894        0                        2508.7666015625          0.0                      13.39599609375           4096                     0.0                      12.189115524291992       1073190                  0.05604216456413269      0.25684854388237         -0.009211540222167969    0.11775512993335724      0.9997563362121582       0.0                      5.843253135681152        0.008273560553789139     0.0012154950527474284    0.0                      0.9591639041900635       1.5135332345962524       0.21131078898906708      91.90016174316406        1.0                      1.0                      1.3824570178985596       -2.2653911113739014      0.4468436539173126       -0.00767829455435276     0.23874033987522125      0.2881156802177429       0.17272521555423737      0.143032044172287        0.16831909120082855      0.12334445863962173      0.5158345699310303       1.7135517597198486       0.5100407004356384       0.9702326655387878       0.376661092042923        0.23882067203521729      1.0                      
200                      0.25397652970419987      26345472                 28841.013726228408       0                        2509.8916015625          0.0                      41.4501953125            4467                     0.0                      17.48780059814453        745027                   0.6940970420837402       1.087826132774353        -0.0063941082917153835   0.11157532036304474      0.9996437430381775       0.0                      6.666384220123291        0.00861250888556242      0.0012401414569467306    0.0                      1.6641675233840942       1.0261056423187256       0.1313362717628479       60.70940017700195        1.0                      0.9968910217285156       1.6955255270004272       -2.2508046627044678      0.30315062403678894      0.050963982939720154     0.8390339612960815       0.29506486654281616      0.2513989806175232       0.42798346281051636      0.2857670783996582       0.1244342029094696       0.44314876198768616      1.6259369850158691       0.6601222157478333       0.8590134382247925       0.37112653255462646      0.24672235548496246      1.0                      
300                      0.37913239618142447      39452672                 29090.917114755583       0                        2509.8916015625          0.0                      57.89091873168945        4107                     0.0                      47.091251373291016       275828                   2.5741453170776367       5.125732421875           -0.010074838064610958    0.10802765190601349      0.9993957877159119       0.0                      6.820960998535156        0.009090227074921131     0.0012740726815536618    0.0                      1.6228878498077393       0.794857382774353        0.09832838922739029      41.18379592895508        1.0                      0.9954929351806641       1.6441452503204346       -1.745502233505249       0.217641219496727        0.2017626166343689       1.6087597608566284       0.44152599573135376      0.21615511178970337      0.4089120328426361       0.11446989327669144      0.06239556893706322      0.23032501339912415      1.3606561422348022       0.4590722322463989       0.6144009828567505       0.3651987910270691       0.25994956493377686      1.0                      
400                      0.5034375923209721       52559872                 29289.994367488423       0                        2509.8916015625          0.0                      57.906429290771484       4104                     0.0                      57.475555419921875       225980                   4.31231689453125         34.855770111083984       -0.02154192514717579     0.11279907077550888      1.000070571899414        0.0                      6.802577972412109        0.008577474392950535     0.00123761803843081      0.0                      1.6805298328399658       0.6561623811721802       0.0805375874042511       28.567033767700195       1.0                      0.9974327087402344       1.4869029521942139       -1.5902056694030762      0.183238685131073        0.6374109983444214       2.0749082565307617       0.48665183782577515      0.1965266317129135       0.2019730806350708       0.0960150882601738       0.06317797303199768      0.2121872752904892       1.2090424299240112       0.289840430021286        0.5846379399299622       0.36114412546157837      0.26935550570487976      1.0                      
500                      0.6262820198800829       65667072                 29638.294642540615       0                        2509.9541015625          0.0                      57.7623291015625         4098                     0.0                      57.91721725463867        224145                   2.0834147930145264       14.99413776397705        -0.020636048167943954    0.09314575046300888      1.0004494190216064       3.180777585765071e-10    5.9936041831970215       0.008483034558594227     0.0012307853903621435    0.0                      2.170654535293579        0.5892198085784912       0.0730837881565094       20.181032180786133       1.0                      0.9988651275634766       1.32924485206604         -1.374262809753418       0.15867219865322113      0.049910105764865875     1.4471734762191772       0.5586707592010498       0.20663893222808838      0.10991606116294861      0.07544837146997452      0.047676023095846176     0.174714133143425        1.1137100458145142       0.28358253836631775      0.5473833084106445       0.35868334770202637      0.2745369076728821       1.0                      
600                      0.7481304611100091       78774272                 29880.577987003857       0                        2509.9541015625          0.0                      57.81862258911133        4102                     0.0                      57.995330810546875       223832                   1.4917523860931396       17.60357093811035        -0.01871517300605774     0.09949646145105362      1.0000245571136475       2.9254326818772824e-06   6.426052093505859        0.007385873701423407     0.0011484372662380338    0.00022670201724395156   2.2571423053741455       0.540090024471283        0.06851121038198471      14.444695472717285       1.0                      0.9994792938232422       1.2450474500656128       -1.2958816289901733      0.1362190842628479       0.07019717246294022      1.2219003438949585       0.5743013620376587       0.21072454750537872      0.09567452222108841      0.06081066280603409      0.039262913167476654     0.1536712646484375       1.0744291543960571       0.2712119519710541       0.49918133020401         0.3571842312812805       0.2787565588951111       1.0                      
700                      0.870803750289811        91881472                 29679.64248702391        0                        2509.9541015625          0.0                      57.935672760009766       4104                     0.0                      57.989234924316406       223917                   1.585633397102356        16.81974220275879        -0.02098877914249897     0.0973663330078125       0.9999354481697083       3.208288035239093e-05    5.996714115142822        0.008543170057237148     0.0012351395562291145    0.0011771066347137094    2.0510904788970947       0.5034589767456055       0.06561669707298279      10.459563255310059       1.0                      0.9997081756591797       1.1982687711715698       -1.270607590675354       0.11840368062257767      -0.009857146069407463    1.2649034261703491       0.5712788105010986       0.2154705822467804       0.09230799227952957      0.053534701466560364     0.035402581095695496     0.14319945871829987      1.0341432094573975       0.2615865468978882       0.5026543140411377       0.35667523741722107      0.2823680341243744       1.0                      
800                      0.995271485182974        104988672                29251.74851537799        0                        2509.9541015625          0.0                      58.10382843017578        4103                     0.0                      58.00040054321289        223921                   1.746193766593933        25.63734245300293        -0.023918841034173965    0.09847717732191086      1.0002212524414062       3.4808021155186e-05      5.484542369842529        0.007383085787296295     0.0011482213158160448    0.0014125279849395156    2.6459078788757324       0.48239031434059143      0.06440045684576035      7.665925979614258        1.0                      0.9998207092285156       1.1675832271575928       -1.2274088859558105      0.10098021477460861      0.04072142392396927      1.3255735635757446       0.5897465944290161       0.2202250063419342       0.08722574263811111      0.048907242715358734     0.030700955539941788     0.12335549294948578      0.9788100123405457       0.2567187547683716       0.47742176055908203      0.35649970173835754      0.28430938720703125      1.0                      
900                      1.117686954802937        118095872                29742.14843787638        0                        2509.9541015625          0.0                      58.1175651550293         4100                     0.0                      58.034236907958984       223773                   0.4715902805328369       24.656049728393555       -0.0011259227758273482   0.151692196726799        1.0000600814819336       6.739675882272422e-05    11.880232810974121       0.01041765883564949      0.001363928196951747     0.0028773718513548374    6.839770317077637        0.47326916456222534      0.06356777250766754      5.686220645904541        1.0                      0.9998188018798828       1.119813084602356        -1.1704310178756714      0.08896390348672867      0.025123780593276024     0.693509042263031        0.6113904118537903       0.21895283460617065      0.08661426603794098      0.04695133864879608      0.028666755184531212     0.11285033077001572      0.9278855919837952       0.24392275512218475      0.4643152058124542       0.35649970173835754      0.28430938720703125      1.0                      
999                      1.2380867399109734       131072000                29937.701803163414       0                        2509.9541015625          0.0                      57.780941009521484       4104                     0.0                      58.07960891723633        221584                   0.8309811353683472       40.71963882446289        -0.012486618012189865    0.12604522705078125      0.9995653033256531       5.9874259022763e-05      8.078583717346191        0.008516442961990833     0.0012332068290561438    0.0031215124763548374    2.9049293994903564       0.4668959975242615       0.0628453865647316       4.286938190460205        1.0                      0.9998741149902344       1.0825544595718384       -1.1340571641921997      0.08085757493972778      0.010419370606541634     0.9142702221870422       0.6228632926940918       0.21831966936588287      0.08223585784435272      0.04980763792991638      0.027324656024575233     0.10685870796442032      0.8955477476119995       0.23540706932544708      0.4642954468727112       0.35649970173835754      0.28430938720703125      1.0                      
