Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.002423141002655029     131072                   15025.493295270793       0                        2478.9150390625          0.0                      10.7203369140625         4298                     0.0                      10.799610137939453       10225                    330.0364074707031        375.02947998046875       -0.003308470593765378    0.03578491136431694      1.0007292032241821       0.0                      3.4922332763671875       0.007686631288379431     0.0011715881992131472    0.0                      0.5799941420555115       4.4695868492126465       1.261430025100708        163.00741577148438       0.8459587097167969       0.8917388916015625       2.128077983856201        -2.170759916305542       12.713866233825684       22.121002197265625       13.973468780517578       4.810948371887207        3.671931028366089        0.15337225794792175      0.2893168032169342       0.16132239997386932      0.7173939943313599       2.095106601715088        0.6061581969261169       1.3316624164581299       0.3838110566139221       0.24470637738704681      1.0                      
100                      0.12859331826368967      13238272                 28857.05011869959        0                        2513.11572265625         0.0                      14.006102561950684       4096                     0.0                      12.345507621765137       1059442                  0.10145147889852524      0.3640161454677582       -0.011494174599647522    0.15727387368679047      0.9999546408653259       0.0                      6.694533824920654        0.01183503307402134      0.0014537529787048697    0.0                      1.0723439455032349       1.5489845275878906       0.16336455941200256      106.88414001464844       1.0                      0.9904098510742188       1.883206844329834        -2.011455535888672       0.3313172459602356       -0.0033013445790857077   0.32132163643836975      0.42067718505859375      0.3092920780181885       0.13648095726966858      0.1591828614473343       0.1103937029838562       0.44953954219818115      1.5473600625991821       0.47147876024246216      0.9213563203811646       0.376242071390152        0.24357213079929352      1.0                      
200                      0.25604353878233166      26345472                 28567.219346436523       0                        2513.11572265625         0.0                      52.66913604736328        4180                     0.0                      22.618989944458008       575116                   1.8889816999435425       2.3095829486846924       -0.005572464782744646    0.1261444091796875       0.9998602867126465       0.0                      7.52679443359375         0.010613207705318928     0.0013766707852482796    0.0                      1.8365586996078491       1.1474984884262085       0.1212792843580246       72.95925903320312        1.0                      0.9892635345458984       1.729325532913208        -1.9413787126541138      0.248360738158226        0.02947492152452469      1.3827471733093262       0.4090290069580078       0.3067893981933594       0.6222617030143738       0.3154836595058441       0.12592580914497375      0.43475112318992615      1.490830421447754        0.678069531917572        0.8691507577896118       0.36843228340148926      0.25989842414855957      1.0                      
300                      0.38198877029948763      39452672                 28908.79916139613        0                        2513.11572265625         0.0                      57.8778076171875         4100                     0.0                      54.00399398803711        240487                   4.720778465270996        14.018424034118652       -0.022752519696950912    0.11078491061925888      0.999911904335022        0.0                      6.557900428771973        0.009637736715376377     0.0013118808856233954    0.0                      1.866091251373291        0.9117828011512756       0.09398598223924637      50.524784088134766       1.0                      0.9941234588623047       1.4620583057403564       -1.5399209260940552      0.1949540227651596       0.30914437770843506      2.1766865253448486       0.5185027122497559       0.20680169761180878      0.16963447630405426      0.10556343197822571      0.05960579216480255      0.2290525734424591       1.2591575384140015       0.3454148471355438       0.5856614708900452       0.36271217465400696      0.2717488408088684       1.0                      
400                      0.5068304318189621       52559872                 29164.19310619537        0                        2513.52197265625         0.0                      57.87131881713867        4103                     0.0                      57.836490631103516       224540                   2.3493754863739014       17.154874801635742       -0.022733174264431       0.1006011962890625       0.9997442364692688       1.851139519448708e-10    5.734858989715576        0.008424193598330021     0.0012265094555914402    0.0                      1.9833672046661377       0.7599362134933472       0.07899345457553864      35.49790954589844        1.0                      0.9968833923339844       1.3191288709640503       -1.3536794185638428      0.15258659422397614      0.054233890026807785     1.5453252792358398       0.5867222547531128       0.19899672269821167      0.1822182685136795       0.07928023487329483      0.04876476153731346      0.18613441288471222      1.1238700151443481       0.2980417311191559       0.5501512289047241       0.35927635431289673      0.2791016101837158       1.0                      
500                      0.6308760831753413       65667072                 29351.276672773354       0                        2513.52197265625         0.0                      58.21351623535156        4098                     0.0                      57.96756362915039        224041                   3.256014108657837        21.127300262451172       -0.028150061145424843    0.09034271538257599      1.0000394582748413       7.92943228589138e-06     4.796999454498291        0.00824049673974514      0.0012130632530897856    0.0004534040344879031    1.6569162607192993       0.6688827872276306       0.06967774778604507      25.288183212280273       1.0                      0.9986400604248047       1.1864631175994873       -1.2066093683242798      0.12291879951953888      0.09706364572048187      1.8065012693405151       0.6313111782073975       0.20575888454914093      0.11362031102180481      0.06044725701212883      0.03966999053955078      0.15607938170433044      1.065366506576538        0.26255255937576294      0.4847390055656433       0.357625275850296        0.2836315333843231       1.0                      
600                      0.75550287299686         78774272                 29214.49629029986        0                        2513.52197265625         0.0                      58.100341796875          4106                     0.0                      58.060909271240234       223783                   2.231283664703369        29.010353088378906       -0.023527396842837334    0.09404907375574112      1.0001834630966187       3.928387013729662e-05    4.919240474700928        0.007682545110583305     0.0011712765553966165    0.0017613002564758062    2.512866973876953        0.6104007959365845       0.0637977123260498       18.24987030029297        1.0                      0.9992485046386719       1.0898207426071167       -1.1119383573532104      0.10242725163698196      0.06642086803913116      1.4933258295059204       0.6600172519683838       0.2132977992296219       0.11111734062433243      0.05038156360387802      0.03174816444516182      0.12664833664894104      0.9897473454475403       0.2559603452682495       0.4691042900085449       0.3568032383918762       0.28768494725227356      1.0                      
700                      0.8798962854676776       91881472                 29269.22406986322        0                        2513.52197265625         0.0                      58.08479309082031        4104                     0.0                      58.061275482177734       223796                   1.6827285289764404       33.03154373168945        -0.01938013918697834     0.10646667331457138      1.0001509189605713       4.925203393213451e-05    5.9640793800354          0.007486660964787006     0.0011562478030100465    0.0023890906013548374    1.9657994508743286       0.5674970746040344       0.059174083173274994     13.37900161743164        1.0                      0.9994773864746094       1.0303356647491455       -1.0558688640594482      0.08567564189434052      -0.003075710264965892    1.2903733253479004       0.6758377552032471       0.21470095217227936      0.11255846172571182      0.04549861326813698      0.027828341349959373     0.1086825281381607       0.9320163726806641       0.2513737976551056       0.46877220273017883      0.356492280960083        0.2912055253982544       1.0                      
800                      1.004245655801561        104988672                29279.592498509366       0                        2513.52197265625         0.0                      57.88236618041992        4106                     0.0                      58.06317138671875        223817                   1.6179808378219604       30.748985290527344       -0.01959100179374218     0.10785217583179474      0.9997021555900574       5.590088767348789e-05    5.849297046661377        0.009432967752218246     0.0012978683225810528    0.002702985657379031     1.9691593647003174       0.53983074426651         0.05647515505552292      10.002368927001953       1.0                      0.9995956420898438       0.9845085740089417       -1.0115165710449219      0.07270053774118423      0.0007434925064444542    1.272465467453003        0.6861519813537598       0.2128027081489563       0.10475573688745499      0.046060189604759216     0.02654363214969635      0.10372347384691238      0.8949416875839233       0.2411930412054062       0.4525257349014282       0.35641202330589294      0.29309937357902527      1.0                      
900                      1.127771475844913        118095872                29474.892839416843       0                        2513.52197265625         0.0                      58.007320404052734       4100                     0.0                      58.13969421386719        223537                   1.3929181098937988       57.465274810791016       -0.018164265900850296    0.11530609428882599      0.999716579914093        8.500390686094761e-05    7.270933628082275        0.009151685982942581     0.0012783706188201904    0.004246303346008062     2.9745523929595947       0.5243971943855286       0.05455464869737625      7.634393215179443        1.0                      0.9995555877685547       0.9368031620979309       -0.9658829569816589      0.06201568990945816      0.00705068651586771      1.1666640043258667       0.7026582360267639       0.21009398996829987      0.09999174624681473      0.043619442731142044     0.024746622890233994     0.09479308128356934      0.8589802384376526       0.22750772535800934      0.4419915974140167       0.35641202330589294      0.29309937357902527      1.0                      
999                      1.245262522432539        131072000                30679.091213586653       0                        2513.52197265625         0.0                      58.376312255859375       4103                     0.0                      58.12752914428711        221251                   0.681861162185669        63.450923919677734       -0.004424817860126495    0.1585128754377365       0.9995080828666687       7.177815859904513e-05    11.72802448272705        0.010171845555305481     0.001347741694189608     0.004228864796459675     5.507063388824463        0.5128337740898132       0.05319740250706673      5.9832305908203125       1.0                      0.9995403289794922       0.9048524498939514       -0.9432659149169922      0.05356255918741226      0.034235693514347076     0.8389058709144592       0.7099563479423523       0.21275688707828522      0.09786853194236755      0.04142729192972183      0.023057442158460617     0.08923658728599548      0.8328167200088501       0.23077653348445892      0.4451773464679718       0.35641202330589294      0.29309937357902527      1.0                      
