Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.008294548590977986     285184                   9550.583363143265        0                        5536.806640625           0.0                      38.96147537231445        45204                    0.0                      16.752164840698242       4854                     88.71185302734375        117.95866394042969       -0.0013912434224039316   0.009443026036024094     1.0002092123031616       0.0                      1.8659123182296753       0.0030836283694952726    0.0007420602487400174    0.0                      0.36217203736305237      0.6947660446166992       0.6847660541534424       0.0                      1.0                      0.009999998845160007     0.59375                  0.6661076545715332       3.8953170587774366e-05   -0.03547303006052971     146.0                    1022.0                   0.5754578113555908       11.752164840698242       5.595634460449219        1.3824537992477417       0.07559298723936081      0.8092077374458313       1.3078789710998535       0.41485700011253357      1.5941952466964722       1.1763423681259155       0.6504359245300293       1.3275134563446045       0.35999974608421326      0.273294597864151        1.0                      
100                      0.12647819605138566      28803584                 67029.55153886479        0                        5569.177734375           0.0                      51.6817741394043         31900                    0.0                      54.50041198730469        513138                   1.3273917436599731       1.8585354089736938       -0.00931177195161581     0.07971414923667908      1.0000470876693726       0.0                      3.188077926635742        0.007205183617770672     0.0011343039805069566    0.0                      0.49548760056495667      0.22751875221729279      0.21751873195171356      0.0                      1.0                      0.009999998845160007     1.0                      0.9994487166404724       0.9567028880119324       -2.555347442626953       146.0                    1022.0                   0.15259432792663574      -0.006333415396511555    1.158273696899414        0.2738344669342041       0.2253749519586563       0.8324213624000549       1.221088171005249        0.3701246678829193       1.4819697141647339       1.1467761993408203       0.5857725739479065       1.1751066446304321       0.34643352031707764      0.2571451961994171       1.0                      
200                      0.24628730952739716      57321984                 66120.13435991984        0                        5569.79296875            0.0                      62.7690544128418         27724                    0.0                      69.75547790527344        400983                   1.606826901435852        3.2002971172332764       -0.011270872317254543    0.08973085135221481      1.0002108812332153       0.0                      4.20499849319458         0.00794275477528572      0.0011909459717571735    0.0                      0.7949361205101013       0.19906368851661682      0.18906369805335999      0.0                      1.0                      0.009999999776482582     1.0                      0.9864789843559265       1.4055639505386353       -2.316978931427002       146.0                    1022.0                   0.10574565827846527      0.011603407561779022     1.2744195461273193       0.42816105484962463      0.36149173974990845      0.8500347137451172       1.123069405555725        0.33962762355804443      1.3387634754180908       1.1342300176620483       0.560887336730957        1.147866129875183        0.34646257758140564      0.2573598623275757       1.0                      
300                      0.36708749459849466      85840384                 65577.67068029761        0                        5569.79296875            0.0                      66.07184600830078        25540                    0.0                      74.95027923583984        373331                   3.2920329570770264       9.186003684997559        -0.007152106147259474    0.07840271294116974      0.9998669028282166       0.0                      4.6825079917907715       0.006739932112395763     0.001097070169635117     0.0                      1.0086636543273926       0.22084517776966095      0.21084517240524292      0.0                      1.0                      0.009999998845160007     1.0                      0.9304502010345459       1.510432481765747        -2.059113025665283       146.0                    1022.0                   0.11402914673089981      -0.025939639657735825    1.82353937625885         0.5707782506942749       0.5299782752990723       0.807039737701416        0.9040381908416748       0.28063613176345825      1.1252245903015137       1.0935505628585815       0.5532340407371521       1.0998915433883667       0.34557297825813293      0.26105281710624695      1.0                      
400                      0.4899125303824743       114358784                64496.582622609676       0                        5569.79296875            0.0                      76.94973754882812        21978                    0.0                      79.8011245727539         350340                   4.598171234130859        22.159805297851562       -0.007490416057407856    0.05984627828001976      0.9998472332954407       0.0                      4.630542278289795        0.006589761469513178     0.0010847803205251694    0.0                      1.1918315887451172       0.24411220848560333      0.2341122329235077       0.0                      1.0                      0.009999998845160007     1.0                      0.9001126289367676       1.456282615661621        -1.9455493688583374      146.0                    1022.0                   0.09834463894367218      -0.07805118709802628     2.1664888858795166       0.610416829586029        0.567636251449585        0.7905821800231934       0.7152156233787537       0.23409534990787506      0.9254786372184753       1.0444477796554565       0.5121861696243286       0.9512553215026855       0.3450975716114044       0.2629932165145874       1.0                      
500                      0.6139568281173706       142877184                63862.62351429198        0                        5569.79296875            0.0                      80.7319107055664         20729                    0.0                      87.1896743774414         320427                   3.9677939414978027       25.894922256469727       -0.002668537199497223    0.07399364560842514      0.9999279975891113       0.0                      5.682988166809082        0.007223352324217558     0.001135733094997704     0.0                      1.459471583366394        0.26204442977905273      0.2520444393157959       0.0                      1.0                      0.009999998845160007     1.0                      0.8880653381347656       1.3649230003356934       -1.842620849609375       146.0                    1022.0                   0.09878920018672943      -0.004592380952090025    2.0052590370178223       0.6131850481033325       0.5497456789016724       0.7861001491546631       0.6162999272346497       0.2131984829902649       0.8332918882369995       0.9932352900505066       0.48994025588035583      0.8781141042709351       0.3450975716114044       0.2629932165145874       1.0                      
600                      0.7377408529652489       171395584                63996.90337585695        0                        5569.79296875            0.0                      87.74372863769531        19078                    0.0                      90.04230499267578        310274                   4.0901198387146          41.834468841552734       -0.005076195113360882    0.08352293074131012      0.999788761138916        0.0                      6.192111492156982        0.007614851929247379     0.0011661043390631676    0.0                      1.560127854347229        0.2729654610157013       0.26296547055244446      0.0                      1.0                      0.009999999776482582     1.0                      0.8943445086479187       1.2955021858215332       -1.7638373374938965      146.0                    1022.0                   0.10019074380397797      -0.05738774687051773     2.030332565307617        0.6111868619918823       0.5176818370819092       0.7894120812416077       0.5709655284881592       0.1987352818250656       0.782670795917511        0.9554764032363892       0.46294906735420227      0.8286905288696289       0.3450975716114044       0.2629932165145874       1.0                      
700                      0.8605170572466321       199913984                64522.2288073001         0                        5569.79296875            0.0                      94.6134033203125         17269                    0.0                      94.36089324951172        295858                   5.178991317749023        32.97312927246094        -0.005795835517346859    0.08654764294624329      0.9998810887336731       0.0                      6.7988739013671875       0.008671140298247337     0.0012443570885807276    0.0                      1.718885898590088        0.27983933687210083      0.269839346408844        0.0                      1.0                      0.009999998845160007     1.0                      0.911855161190033        1.2511717081069946       -1.714367151260376       146.0                    1022.0                   0.10363724082708359      0.0030676093883812428    2.2854950428009033       0.6087738275527954       0.49474209547042847      0.7603257894515991       0.5202533602714539       0.17838267982006073      0.7179440855979919       0.9039069414138794       0.4210497736930847       0.7905292510986328       0.3450975716114044       0.2629932165145874       1.0                      
800                      0.9823637072907554       228432384                65014.463156321595       0                        5569.79296875            0.0                      100.42024230957031       16001                    0.0                      99.49993896484375        280338                   7.703703880310059        100.57261657714844       -0.007629875093698502    0.0837831124663353       0.9998119473457336       1.4072486465011025e-07   6.89333963394165         0.008734861388802528     0.0012489199871197343    0.0                      2.2058889865875244       0.29049327969551086      0.28049325942993164      0.0                      1.0                      0.009999998845160007     1.0                      0.9365918636322021       1.205562949180603        -1.6309188604354858      146.0                    1022.0                   0.1077461987733841       -0.062269799411296844    2.7834408283233643       0.6408634185791016       0.4718864858150482       0.6807767152786255       0.46518829464912415      0.15636542439460754      0.6288922429084778       0.8550640344619751       0.38078808784484863      0.7615641951560974       0.3450975716114044       0.2629932165145874       1.0                      
900                      1.1041479750474295       256950784                65047.76714338301        0                        5569.79296875            0.0                      103.5268325805664        17995                    0.0                      104.86628723144531       265843                   7.674938678741455        34.005836486816406       -0.00668025016784668     0.10087031126022339      0.99984210729599         2.6278141262991994e-07   7.836703777313232        0.009015314280986786     0.0012688118731603026    8.71930842549773e-06     2.2812016010284424       0.2978488504886627       0.28784888982772827      0.0                      1.0                      0.009999998845160007     1.0                      0.9566532969474792       1.1640452146530151       -1.589471459388733       146.0                    1022.0                   0.10905086249113083      0.0323382169008255       2.782564401626587        0.638424277305603        0.45317578315734863      0.6532737016677856       0.4090857207775116       0.13973088562488556      0.5638635158538818       0.826698362827301        0.3497176468372345       0.7072096467018127       0.3450975716114044       0.2629932165145874       1.0                      
