Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.003648170034090678     285184                   21714.387497709697       0                        5536.806640625           0.0                      16.50333023071289        26428                    0.0                      14.994357109069824       12406                    60.99127960205078        85.90233612060547        -0.0015144741628319025   0.012420051731169224     0.9999826550483704       0.0                      2.002122640609741        0.0036921140272170305    0.0008119795238599181    0.0                      0.36658281087875366      0.6907739043235779       0.680773913860321        0.0                      1.0                      0.009999998845160007     0.71875                  0.7328129410743713       8.062923006946221e-05    -0.051902927458286285    146.0                    1022.0                   0.6078728437423706       9.204161643981934        4.972488880157471        1.3698221445083618       0.0739741399884224       0.2701970934867859       0.5459621548652649       0.2503541111946106       0.9810203909873962       1.2809139490127563       0.4940750300884247       1.0855474472045898       0.3726240396499634       0.2736330032348633       1.0                      
100                      0.11547123160627153      28803584                 70842.26218699449        0                        5568.75439453125         0.0                      22.094022750854492       23293                    0.0                      20.877912521362305       1359765                  0.41946080327033997      0.6859810948371887       -0.008939716033637524    0.11693084239959717      0.999965488910675        0.0                      3.8520267009735107       0.007403750903904438     0.0011498265666887164    0.0                      0.5288333296775818       0.23964031040668488      0.22964027523994446      0.0                      1.0                      0.009999999776482582     1.0                      0.9982450008392334       0.9432992935180664       -2.4337615966796875      146.0                    1022.0                   0.14327146112918854      0.0005914919311180711    0.65183025598526         0.3540714979171753       0.2748929262161255       0.22910965979099274      0.40003639459609985      0.1920759379863739       0.7368242144584656       1.129503846168518        0.4019187390804291       0.8002951145172119       0.3618834316730499       0.259888231754303        1.0                      
200                      0.22825870255629221      57321984                 70236.48836435104        0                        5569.9755859375          0.0                      30.300708770751953       20887                    0.0                      28.28956413269043        1001838                  2.1661620140075684       2.9884073734283447       -0.010808567516505718    0.12018486112356186      0.9997884631156921       0.0                      5.018781661987305        0.008111993782222271     0.0012035666732117534    0.0                      0.8663777709007263       0.2378246784210205       0.22782468795776367      0.0                      1.0                      0.009999999776482582     1.0                      0.955903172492981        1.317298412322998        -2.0199978351593018      146.0                    1022.0                   0.12071014195680618      0.03866204246878624      1.4828029870986938       0.6184318661689758       0.45918509364128113      0.21579940617084503      0.3365483283996582       0.13517546653747559      0.5524427890777588       0.9853777289390564       0.37401267886161804      0.7302724123001099       0.3562595844268799       0.2607952058315277       1.0                      
300                      0.3420734363132053       85840384                 69602.55176640522        0                        5570.1591796875          0.0                      37.25625228881836        19977                    0.0                      36.29153060913086        779976                   4.889749050140381        18.377893447875977       -0.0030077972915023565   0.07483167946338654      1.0000418424606323       0.0                      4.4444098472595215       0.0070281666703522205    0.0011202847817912698    0.0                      1.169284462928772        0.2783927619457245       0.2683927118778229       0.0                      1.0                      0.009999999776482582     1.0                      0.9154887795448303       1.295519232749939        -1.6392632722854614      146.0                    1022.0                   0.10632158815860748      0.004465923178941011     2.2196767330169678       0.7595987915992737       0.5041171312332153       0.2128380835056305       0.20270387828350067      0.0942721888422966       0.36294203996658325      0.8572044968605042       0.3312784433364868       0.5929840207099915       0.3522844612598419       0.2649630904197693       1.0                      
400                      0.45529823707209693      114358784                69965.20270341508        0                        5570.1591796875          0.0                      41.94043731689453        17951                    0.0                      42.1118049621582         671411                   4.586292266845703        27.63013458251953        -0.005340022966265678    0.07674624770879745      0.9998809695243835       0.0                      4.956883430480957        0.007443979382514954     0.0011529469629749656    0.0                      1.3068259954452515       0.3034432828426361       0.2934432923793793       0.0                      1.0                      0.009999999776482582     1.0                      0.9495211839675903       1.1798282861709595       -1.4233163595199585      146.0                    1022.0                   0.10667801648378372      0.02497180737555027      2.147857904434204        0.7293763160705566       0.4482361078262329       0.19001808762550354      0.17847409844398499      0.07369127869606018      0.29124483466148376      0.7393703460693359       0.2886104881763458       0.5094215869903564       0.3509770929813385       0.2673843204975128       1.0                      
500                      0.5707810367478264       142877184                68597.1939248835         0                        5570.1591796875          0.0                      58.480533599853516       25426                    0.0                      52.32563781738281        538225                   5.6548357009887695       66.01445770263672        -0.004748214967548847    0.079728864133358        0.9998999834060669       6.466376878400126e-10    5.640330791473389        0.00882942508906126      0.0012556619476526976    0.0                      1.6319096088409424       0.3111250400543213       0.30112510919570923      0.0                      1.0                      0.009999999776482582     1.0                      0.9752494096755981       1.1057937145233154       -1.350740909576416       146.0                    1022.0                   0.10736237466335297      0.05745770409703255      2.387420892715454        0.6668630242347717       0.3941626250743866       0.1652022749185562       0.17536696791648865      0.06954997777938843      0.28204968571662903      0.71587735414505         0.26056429743766785      0.47434574365615845      0.3509770929813385       0.2673843204975128       1.0                      
600                      0.6861437082952924       171395584                68668.62256392337        0                        5570.1591796875          0.0                      63.5650520324707         22829                    0.0                      63.33011245727539        443691                   6.146799564361572        81.69308471679688        -0.006181712262332439    0.08305865526199341      0.9998032450675964       2.4617248683966864e-08   6.221033096313477        0.006952712312340736     0.0011142515577375889    8.71930842549773e-06     1.8616467714309692       0.31585457921028137      0.3058546483516693       0.0                      1.0                      0.009999998845160007     1.0                      0.9858933687210083       1.0692161321640015       -1.2903292179107666      146.0                    1022.0                   0.11052510142326355      -0.016532303765416145    2.470370054244995        0.6610321402549744       0.36059412360191345      0.13991732895374298      0.1489206850528717       0.06016017124056816      0.24298502504825592      0.673426628112793        0.22840435802936554      0.4428020715713501       0.3509770929813385       0.2673843204975128       1.0                      
700                      0.8017965959178077       199913984                68496.307669031          0                        5570.1591796875          0.0                      73.50727844238281        19498                    0.0                      71.38229370117188        392819                   6.874231338500977        84.53053283691406        -0.006350334268063307    0.08496829867362976      0.9996777772903442       1.4297228290161001e-07   6.429234981536865        0.007271501235663891     0.0011395112378522754    0.0                      1.8085224628448486       0.3208310306072235       0.3108310103416443       0.0                      1.0                      0.009999999776482582     1.0                      0.9919964671134949       1.0470142364501953       -1.215556025505066       146.0                    1022.0                   0.11345731467008591      0.010610613971948624     2.6211655139923096       0.6677286028862          0.32992810010910034      0.12737934291362762      0.12291597574949265      0.051397040486335754     0.20650890469551086      0.6405328512191772       0.19216814637184143      0.3956155776977539       0.3509770929813385       0.2673843204975128       1.0                      
800                      0.918002002702819        228432384                68170.63024807806        0                        5570.1591796875          0.0                      81.52500915527344        20334                    0.0                      79.79993438720703        350748                   6.961186408996582        69.40459442138672        -0.0071387747302651405   0.0795212909579277       0.9998742341995239       6.322329113572778e-07    6.149264335632324        0.007289719767868519     0.0011409380240365863    3.487723370199092e-05    2.0903632640838623       0.3257051408290863       0.3157051205635071       0.0                      1.0                      0.009999998845160007     1.0                      0.9955757856369019       1.023902177810669        -1.1580747365951538      146.0                    1022.0                   0.11755409836769104      -0.036495137959718704    2.6575844287872314       0.6746442317962646       0.30236050486564636      0.10860339552164078      0.10124441981315613      0.04251990094780922      0.17100809514522552      0.5962837338447571       0.16616375744342804      0.3578055799007416       0.3509770929813385       0.2673843204975128       1.0                      
900                      1.034188605149587        256950784                68181.6611248541         0                        5570.1591796875          0.0                      83.85733032226562        19488                    0.0                      86.90692138671875        321321                   6.9999237060546875       120.413818359375         -0.008780376985669136    0.08501669019460678      0.9999921917915344       1.5760424503241666e-06   6.38112211227417         0.007780161686241627     0.0011786948889493942    1.743861685099546e-05    2.103118658065796        0.3302038311958313       0.3202038109302521       0.0                      1.0                      0.009999999776482582     1.0                      0.997624397277832        1.0025219917297363       -1.1161572933197021      146.0                    1022.0                   0.12116020917892456      0.09698572009801865      2.6293177604675293       0.6765397787094116       0.28372859954833984      0.10082094371318817      0.0874609500169754       0.037729643285274506     0.14828574657440186      0.563437283039093        0.15237464010715485      0.3363783061504364       0.3509770929813385       0.2673843204975128       1.0                      
