Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Neg_Grad_Penalty    Disc_Pos_Grad_Penalty    Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Rms_Radius_Mean     Disc_Rms_Radius_P99      Disc_Gap_Mean            Disc_Gap_P99             Disc_Gap_Max             Disc_Lip_Violation_Max   Disc_Lip_Violation_Frac  Disc_Gain                Disc_Lipschitz_Bound     Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0017626172304153443    131072                   20656.15169341643        0                        2484.453125              0.0                      17.0                     4096                     0.0                      15.008655548095703       5662                     62.01003646850586        87.29798889160156        -0.0023246638011187315   0.01869964599609375      1.0003259181976318       0.0                      2.9475157260894775       0.003441121894866228     0.0007838941528461874    0.0                      0.535942018032074        0.6987797021865845       0.6913843750953674       0.0                      0.0                      0.0                      0.7395315766334534       0.007395314984023571     0.6875                   0.6980419158935547       9.99666917778086e-06     -0.007091851904988289    0.9587639570236206       2.075065851211548        0.01087871938943863      0.037078507244586945     0.07008742541074753      0.0                      0.0                      0.9996787905693054       0.07622478902339935      146.0                    1022.0                   0.4265711009502411       9.285490036010742        5.016618251800537        1.3880980014801025       0.009636376053094864     0.20699773728847504      0.3541698753833771       0.1971656233072281       0.8274841904640198       0.9711387157440186       0.29463523626327515      0.7086706757545471       0.37269127368927         0.2727902829647064       1.0                      
100                      0.08775343888335758      13238272                 42340.61541328543        0                        2517.55078125            0.0                      24.0                     4096                     0.0                      21.61550521850586        603323                   3.476057767868042        8.920201301574707        -0.00788099691271782     0.0926513671875          0.9995990991592407       0.0                      4.528256893157959        0.0072851781733334064    0.0011405835393816233    0.0                      0.9049424529075623       0.524751603603363        0.49645042419433594      0.0                      0.0                      0.0                      2.830122709274292        0.02830122783780098      1.0                      0.9954929351806641       0.2769191563129425       -0.648166298866272       1.153624176979065        1.966687560081482        0.9250854849815369       1.4891510009765625       1.790706753730774        0.0                      0.0                      1.716296911239624        0.1308664083480835       146.0                    1022.0                   0.8916317224502563       0.02528158202767372      1.8869680166244507       0.892128586769104        0.19288353621959686      0.12218080461025238      0.2642422020435333       0.15987248718738556      0.6021087765693665       1.038586974143982        0.29120349884033203      0.8199700117111206       0.36098840832710266      0.2633492946624756       1.0                      
200                      0.17329572896162668      26345472                 42562.60207284702        0                        2518.5205078125          0.0                      37.0                     4096                     0.0                      31.458032608032227       413510                   2.9555070400238037       12.08300495147705        -0.009619946591556072    0.09858550876379013      0.999691903591156        0.0                      5.1956892013549805       0.009054129011929035     0.0012715387856587768    0.0                      1.187336802482605        0.4701908528804779       0.3870869576931          0.0                      0.0                      0.0                      8.310393333435059        0.08310392498970032      1.0                      0.9752483367919922       0.6138744354248047       -1.0225642919540405      1.174221396446228        1.989465355873108        1.6364388465881348       2.9881889820098877       3.7770578861236572       0.0                      0.0                      2.897394895553589        0.2209242880344391       146.0                    1022.0                   1.621463418006897        0.015773791819810867     1.7306514978408813       0.7710851430892944       0.3389727473258972       0.24132242798805237      0.2998710572719574       0.13342121243476868      0.512700080871582        1.1675268411636353       0.3865337073802948       1.076190710067749        0.35577842593193054      0.26352885365486145      1.0                      
300                      0.2592586674955156       39452672                 42354.31604217567        0                        2518.5205078125          0.0                      40.0                     4096                     0.0                      41.92333221435547        309427                   5.993615627288818        33.01255416870117        -0.007428539451211691    0.1083831787109375       0.9996719360351562       0.0                      6.325479030609131        0.007347176782786846     0.0011454251362010837    0.0                      1.5555256605148315       0.47828400135040283      0.37679824233055115      0.0                      0.0                      0.0                      10.148576736450195       0.10148575901985168      1.0                      0.9060707092285156       0.7755945324897766       -0.9918519258499146      1.0988733768463135       2.0685057640075684       1.7674461603164673       3.799933671951294        5.0369553565979          0.0                      0.0                      3.1985995769500732       0.2438909113407135       146.0                    1022.0                   2.0401384830474854       0.02176778018474579      2.4721076488494873       0.8599069118499756       0.442609578371048        0.25548797845840454      0.18679006397724152      0.09365636110305786      0.39188435673713684      1.1171112060546875       0.4132547676563263       0.7988585233688354       0.3528253734111786       0.2651207447052002       1.0                      
400                      0.3450157903962665       52559872                 42455.96845697078        0                        2518.5205078125          0.0                      42.727294921875          4096                     0.0                      51.349395751953125       252175                   7.724242210388184        49.656349182128906       -0.008277829736471176    0.11624298244714737      0.9998196959495544       0.0                      6.704800605773926        0.008657476864755154     0.0012433744268491864    0.0                      1.625586748123169        0.4934331476688385       0.391103595495224        0.0                      0.0                      0.0                      10.232952117919922       0.1023295447230339       1.0                      0.8647117614746094       0.7890276908874512       -0.913010835647583       1.0190117359161377       2.139944076538086        1.7020388841629028       4.1425933837890625       5.674159049987793        0.0                      0.0                      3.2119412422180176       0.24490821361541748      146.0                    1022.0                   2.255871295928955        -0.07358052581548691     2.796337127685547        0.9042928814888          0.47062066197395325      0.24457231163978577      0.19043250381946564      0.08552661538124084      0.3487228453159332       1.0488897562026978       0.3983894884586334       0.6631556153297424       0.35086968541145325      0.26795274019241333      1.0                      
499                      0.43409212840927974      65536000                 40465.209704321765       0                        2518.5205078125          0.0                      47.0                     4096                     0.0                      57.4095344543457         223025                   6.001768589019775        80.37663269042969        -0.007270555943250656    0.11168060451745987      1.0000051259994507       0.0                      6.403817653656006        0.007324035745114088     0.0011436206987127662    0.0                      1.7884032726287842       0.5006560683250427       0.4003022015094757       0.0                      0.0                      0.0                      10.035386085510254       0.10035384446382523      1.0                      0.8694992065429688       0.7620025873184204       -0.8925237059593201      0.9601903557777405       2.2506086826324463       1.654525876045227        4.3734540939331055       6.214759826660156        0.0                      0.0                      3.181286096572876        0.24257075786590576      146.0                    1022.0                   2.3103294372558594       0.06116343289613724      2.449800968170166        0.8952259421348572       0.46065327525138855      0.22109375894069672      0.1919952929019928       0.07162806391716003      0.3045597970485687       1.010295033454895        0.31818461418151855      0.5654168725013733       0.34948527812957764      0.2702772617340088       1.0                      
Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Neg_Grad_Penalty    Disc_Pos_Grad_Penalty    Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Rms_Radius_Mean     Disc_Rms_Radius_P99      Disc_Gap_Mean            Disc_Gap_P99             Disc_Gap_Max             Disc_Lip_Violation_Max   Disc_Lip_Violation_Frac  Disc_Gain                Disc_Lipschitz_Bound     Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
500                      0.43622083690431385      65667072                 17106.280637553595       1                        2494.2470703125          0.0                      47.0                     4096                     0.0                      21.14029312133789        1226                     62.69384765625           541.7247314453125        -0.0054826331324875355   0.10207672417163849      1.000167727470398        0.0                      6.526700019836426        0.00955488346517086      0.0013062285725027323    0.0                      1.8920049667358398       0.5136308670043945       0.413310706615448        0.0                      0.0                      0.0                      10.032005310058594       0.10032004117965698      1.0                      0.8125839233398438       0.7615811228752136       -0.8215341567993164      0.926767885684967        2.1896231174468994       1.5831153392791748       4.308752059936523        6.017701625823975        0.0                      0.0                      3.1807570457458496       0.24253050982952118      146.0                    1022.0                   2.409677267074585        0.033692702651023865     2.7613627910614014       0.9969148635864258       0.48787906765937805      0.2335275560617447       0.19293546676635742      0.07515590637922287      0.30988988280296326      1.0415154695510864       0.3419651389122009       0.6107884049415588       0.34948059916496277      0.2703161835670471       1.0                      
600                      0.5214786738157272       78774272                 42704.61599088635        1                        2517.90234375            0.0                      48.0                     4096                     0.0                      60.73595428466797        212868                   6.388240814208984        80.61882781982422        -0.009956428781151772    0.11385803669691086      0.9998632669448853       0.0                      6.762547969818115        0.009097132831811905     0.0012745559215545654    0.0                      1.9667212963104248       0.5080100297927856       0.4096762239933014       0.0                      0.0                      0.0                      9.833383560180664        0.09833384305238724      1.0                      0.8868446350097656       0.734326958656311        -0.8660407662391663      0.9129568338394165       2.375861644744873        1.6003679037094116       4.552544116973877        6.618446350097656        0.0                      0.0                      3.1496355533599854       0.24015748500823975      146.0                    1022.0                   2.3489184379577637       0.016035716980695724     2.5632405281066895       0.9052461385726929       0.448771595954895        0.24213829636573792      0.16942283511161804      0.07002481818199158      0.2701554596424103       0.9759173393249512       0.367512583732605        0.6003373861312866       0.34849318861961365      0.2723754942417145       1.0                      
700                      0.6066902995109558       91881472                 42727.76524301626        1                        2517.90234375            0.0                      55.006107330322266       4096                     0.0                      64.5182876586914         200180                   6.541460990905762        103.91265869140625       -0.009396437555551529    0.11847229301929474      0.9996961951255798       0.0                      6.91928243637085         0.010566559620201588     0.0013736411929130554    0.0                      2.1073434352874756       0.5095692276954651       0.41271430253982544      0.0                      0.0                      0.0                      9.685486793518066        0.09685485810041428      1.0                      0.911407470703125        0.7152089476585388       -0.8709380030632019      0.8886529803276062       2.463500738143921        1.5861469507217407       4.693624973297119        6.772372722625732        0.0                      0.0                      3.126314163208008        0.23837919533252716      146.0                    1022.0                   2.3451168537139893       0.07602590322494507      2.5948140621185303       0.890788197517395        0.43822476267814636      0.2693619728088379       0.15789325535297394      0.05964627489447594      0.2249339371919632       0.9514496326446533       0.3594683110713959       0.545680582523346        0.34774360060691833      0.27430030703544617      1.0                      
