Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Neg_Grad_Penalty    Disc_Pos_Grad_Penalty    Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0021587749984529284    262144                   33731.06406640903        0                        4673.640625              0.0                      17.0                     8192                     0.0                      14.927651405334473       11472                    831.9948120117188        776.3817749023438        -0.002399390796199441    0.024718476459383965     1.0001388788223267       0.0                      2.3764026165008545       0.0036704912781715393    0.0008095980738289654    0.0                      0.41578254103660583      5.073690891265869        0.5279757976531982       1.509364128112793        2.622645378112793        0.3960830271244049       152.69866943359375       1.5269869565963745       0.59375                  0.8703823089599609       -0.0005417581996880472   -3.1074395179748535      12.092461585998535       35.92240905761719        20.54705238342285        6.16895866394043         3.2275607585906982       0.20716969668865204      0.35344481468200684      0.1972377747297287       0.8281248211860657       0.9720191359519958       0.2952589988708496       0.7079357504844666       0.37295520305633545      0.27337023615837097      1.0                      
100                      0.11390707201427884      26476544                 65162.482676163796       0                        4706.68603515625         0.0                      21.0                     8192                     0.0                      20.28621482849121        1286723                  0.17579230666160583      0.37312832474708557      -0.005092729814350605    0.053340911865234375     0.9997811317443848       0.0                      2.89285945892334         0.006062452681362629     0.0010404720669612288    0.0                      0.5126042366027832       1.5008440017700195       0.16119176149368286      0.19615450501441956      0.30198702216148376      0.09032198786735535      94.73430633544922        0.9473428130149841       1.0                      1.0                      1.248756766319275        -2.8634467124938965      1.6260309219360352       0.011180927976965904     0.4215070903301239       0.1638399362564087       0.11261417716741562      0.1224583238363266       0.1380411833524704       0.13098669052124023      0.5260578989982605       0.8277462720870972       0.17865261435508728      0.5235966444015503       0.3626912236213684       0.26011785864830017      1.0                      
200                      0.2255581004752053       52690944                 65219.24245501882        0                        4706.68603515625         0.0                      28.0135498046875         8192                     0.0                      25.446434020996094       1024619                  0.827934980392456        1.2177109718322754       -0.006239216309040785    0.07977981865406036      0.9998536109924316       0.0                      3.921781301498413        0.007423193193972111     0.001151335658505559     0.0                      0.6901317238807678       1.024327278137207        0.14718997478485107      0.12647825479507446      0.17368319630622864      0.0792732834815979       62.41809844970703        0.6241809129714966       1.0                      0.9979887008666992       1.7169052362442017       -2.455151319503784       2.016132354736328        0.02424222230911255      0.9184784889221191       0.3295135200023651       0.29439812898635864      0.08115166425704956      0.14641031622886658      0.07617846876382828      0.2723516523838043       0.8008931279182434       0.26293739676475525      0.571553111076355        0.3580237030982971       0.2598767578601837       1.0                      
300                      0.3369672954082489       78905344                 65360.817188589615       0                        4706.68603515625         0.0                      39.0013427734375         8192                     0.0                      33.5580940246582         775676                   2.6006507873535156       4.78368616104126         -0.00416041724383831     0.08793487399816513      0.9999980330467224       0.0                      5.148698806762695        0.007488958537578583     0.0011564255692064762    0.0                      1.0112336874008179       0.779289722442627        0.17845232784748077      0.0879548043012619       0.13052217662334442      0.04538743197917938      42.4927864074707         0.4249277710914612       1.0                      0.9880819320678711       1.7057384252548218       -2.0816729068756104      1.5004918575286865       -0.0074460431933403015   1.6235408782958984       0.46801814436912537      0.3767925798892975       0.1812325417995453       0.1613730639219284       0.06154327839612961      0.23192302882671356      0.8315700888633728       0.31709203124046326      0.6160715222358704       0.3546101450920105       0.26294395327568054      1.0                      
400                      0.447875713441107        105119744                65655.9312222944         0                        4706.68603515625         0.0                      42.0                     8192                     0.0                      41.140830993652344       631562                   3.333557367324829        9.164267539978027        -0.002491759369149804    0.07378387451171875      0.9998704791069031       0.0                      5.117511749267578        0.006230802740901709     0.0010548222344368696    0.0                      1.203107476234436        0.648251473903656        0.2062118500471115       0.07262296974658966      0.11033347249031067      0.03491246700286865      29.67936134338379        0.296793669462204        1.0                      0.9879789352416992       1.5474684238433838       -1.8877716064453125      1.0437207221984863       0.0012667728587985039    1.8348042964935303       0.49663230776786804      0.38500526547431946      0.20491302013397217      0.17495566606521606      0.0664283037185669       0.2247007042169571       0.8142719268798828       0.38007423281669617      0.4950464963912964       0.3526191711425781       0.26641789078712463      1.0                      
500                      0.5585548254516389       131334144                65791.95281279432        0                        4706.68603515625         0.0                      46.0                     8192                     0.0                      50.60807800292969        511922                   4.37868070602417         18.311872482299805       -0.0033498804550617933   0.0807701125741005       0.9997703433036804       4.969239603136444e-11    6.148021697998047        0.00753729697316885      0.00116015097592026      0.0                      1.5978001356124878       0.5726016759872437       0.23027141392230988      0.0658995732665062       0.1037725955247879       0.02802656963467598      21.05310821533203        0.210531085729599        1.0                      0.9911823272705078       1.4124583005905151       -1.6928777694702148      0.7598033547401428       0.0037354014348238707    2.1055777072906494       0.5172857046127319       0.35408729314804077      0.1950346678495407       0.15252459049224854      0.0576150007545948       0.2023518979549408       0.8327299952507019       0.36689913272857666      0.5103333592414856       0.3526191711425781       0.26641789078712463      1.0                      
600                      0.6690119400951597       157548544                65924.18530590188        0                        4706.68603515625         0.0                      58.934207916259766       8192                     0.0                      57.258094787597656       451908                   5.086814880371094        50.497032165527344       -0.0036925622262060642   0.09075470268726349      0.9995024800300598       3.7049390222421152e-09   6.6657023429870605       0.006443008314818144     0.001072634244337678     0.0                      2.1401093006134033       0.5272650718688965       0.24877209961414337      0.06370034068822861      0.10039415955543518      0.027006523683667183     15.109231948852539       0.1510923057794571       1.0                      0.9941673278808594       1.3198206424713135       -1.5583559274673462      0.6278312802314758       0.006084617227315903     2.266831398010254        0.5496454834938049       0.3369639217853546       0.24531444907188416      0.14284661412239075      0.053644679486751556     0.1976255178451538       0.8323426246643066       0.36550650000572205      0.45587190985679626      0.3526191711425781       0.26641789078712463      1.0                      
700                      0.7793979321585761       183762944                65966.66049374445        0                        4706.68603515625         0.0                      63.141841888427734       8192                     0.0                      63.19991683959961        408741                   5.84246301651001         119.47180938720703       -0.005012940615415573    0.09843597561120987      0.999756932258606        1.0082443679948483e-07   7.088197231292725        0.0065310001373291016    0.0010799331357702613    8.71930842549773e-06     2.139101505279541        0.49751853942871094      0.2628946006298065       0.06252522766590118      0.1007247045636177       0.024325773119926453     10.957345962524414       0.10957346111536026      1.0                      0.9966316223144531       1.2506020069122314       -1.4473865032196045      0.5170441269874573       0.029066869989037514     2.388993740081787        0.571449875831604        0.31301164627075195      0.23189078271389008      0.1345614343881607       0.047507669776678085     0.1788305640220642       0.8488572835922241       0.3722167909145355       0.43639397621154785      0.3526191711425781       0.26641789078712463      1.0                      
800                      0.8899012683497535       209977344                65896.60536858851        0                        4707.52978515625         0.0                      61.0965576171875         8192                     0.0                      71.1041488647461         362447                   5.927331924438477        104.42159271240234       -0.005996432621032       0.08780594170093536      0.9999595880508423       3.6975197303945606e-07   6.8168206214904785       0.00882637593895197      0.0012554451823234558    8.71930842549773e-06     2.3136634826660156       0.47755780816078186      0.27458447217941284      0.06134217232465744      0.10042563825845718      0.022258711978793144     8.028897285461426        0.08028896152973175      1.0                      0.9978713989257812       1.1975748538970947       -1.3669837713241577      0.43115678429603577      0.025531720370054245     2.42667293548584         0.5901477336883545       0.3005680441856384       0.1569025069475174       0.2100396603345871       0.07491138577461243      0.25891122221946716      0.8411949276924133       0.3675483763217926       0.5665483474731445       0.3526191711425781       0.26641789078712463      1.0                      
900                      1.0002966181437174       236191744                65961.0676672937         0                        4707.52978515625         0.0                      57.006961822509766       8192                     0.0                      79.19243621826172        324824                   5.369884490966797        56.20125961303711        -0.006358105223625898    0.10746917873620987      0.9996122717857361       5.220086904955679e-07    7.675065517425537        0.007838336750864983     0.0011830918956547976    4.3596541217993945e-05   2.665848970413208        0.46557459235191345      0.2838011682033539       0.061128947883844376     0.10046510398387909      0.021792806684970856     5.951559543609619        0.05951559916138649      1.0                      0.9986915588378906       1.1541589498519897       -1.3082232475280762      0.37183690071105957      -0.0064304606057703495   2.3316822052001953       0.6027030944824219       0.2905239164829254       0.09451901167631149      0.16549745202064514      0.06453799456357956      0.2114955186843872       0.8023810386657715       0.2940515875816345       0.43000081181526184      0.3526191711425781       0.26641789078712463      1.0                      
