Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Grad_Penalty_Neg    Disc_Grad_Penalty_Pos    Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.006175572739707099     131072                   5895.629510570015        0                        2478.51953125            0.0                      39.06309509277344        20508                    0.0                      16.356021881103516       2292                     1328.3043212890625       1228.7198486328125       -0.0029305447824299335   0.02528991736471653      1.0005086660385132       0.0                      2.999359369277954        0.0041652885265648365    0.0008624439942650497    0.0                      0.5645069479942322       2.2434990406036377       0.4654761254787445       2.4939513206481934       4.616715431213379        0.37118658423423767      152.86277770996094       1.528627634048462        0.6875                   0.9058589935302734       0.0037204499822109938    -9.840394973754883       3.4789035320281982       46.72593688964844        25.845577239990234       6.050494194030762        3.170232057571411        0.810003399848938        1.3045991659164429       0.4148610532283783       1.591681957244873        1.1758308410644531       0.6513046026229858       1.3281724452972412       0.35983049869537354      0.27364712953567505      1.0                      
100                      0.08319905797640482      13238272                 47270.154765192216       0                        2509.08056640625         0.0                      44.89384078979492        17316                    0.0                      48.64405822753906        265235                   0.059624798595905304     0.1935676485300064       -0.004615869838744402    0.05308990553021431      0.9998310208320618       0.0                      3.4904327392578125       0.00717844208702445      0.001132196863181889     0.0                      0.6330413818359375       0.8745223879814148       0.03455054387450218      0.4974457621574402       0.8075782656669617       0.18731313943862915      79.02273559570312        0.7902272343635559       1.0                      1.0                      2.8379361629486084       -5.25504207611084        0.2321593314409256       0.01084461621940136      0.24508237838745117      0.030360335484147072     0.04720722511410713      0.8060545325279236       1.2231552600860596       0.37853139638900757      1.5011671781539917       1.1266241073608398       0.6185691952705383       1.2265243530273438       0.3461500406265259       0.25973933935165405      1.0                      
200                      0.1602622202369902       26345472                 47245.69771437374        0                        2509.08056640625         0.0                      48.44841384887695        16153                    0.0                      55.12518310546875        234276                   0.15038257837295532      0.35222768783569336      -0.0029515025671571493   0.07210083305835724      1.000311017036438        0.0                      4.4465179443359375       0.0071765361353755       0.001132047618739307     0.0                      0.8714936971664429       0.47835198044776917      0.0275115966796875       0.4012737274169922       0.5868512392044067       0.21569609642028809      41.07129669189453        0.41071295738220215      1.0                      0.99993896484375         3.316561460494995        -5.597545623779297       0.2024802714586258       0.0020262491889297962    0.3898344337940216       0.05657752603292465      0.11569380760192871      0.824176549911499        1.127172827720642        0.3349091410636902       1.3518918752670288       1.0612037181854248       0.6004161834716797       1.1792726516723633       0.34694838523864746      0.25794917345046997      1.0                      
300                      0.23689566598998177      39452672                 47510.62746083273        0                        2509.08056640625         0.0                      53.17070007324219        14641                    0.0                      58.7220458984375         219611                   0.3387249708175659       0.6568187475204468       0.0019673339556902647    0.08910675346851349      1.000207781791687        0.0                      5.342596054077148        0.007731684483587742     0.0011750163976103067    0.0                      1.0203478336334229       0.28291597962379456      0.03223942592740059      0.3512389361858368       0.5144604444503784       0.18801742792129517      21.555265426635742       0.2155526578426361       1.0                      0.9990940093994141       3.319253444671631        -5.839967250823975       0.15837623178958893      0.003036451991647482     0.5853297710418701       0.08204873651266098      0.18742352724075317      0.7804772853851318       1.0512810945510864       0.2964155972003937       1.2199592590332031       1.0137375593185425       0.5769818425178528       1.1227396726608276       0.34735751152038574      0.25891879200935364      1.0                      
400                      0.3127643550766839       52559872                 47989.52026877081        0                        2509.08056640625         0.0                      58.57574462890625        13612                    0.0                      63.44736099243164        203367                   0.5741341710090637       1.2594826221466064       -0.004016280639916658    0.10558929294347763      1.0002638101577759       0.0                      6.396147727966309        0.007515784353017807     0.0011584939202293754    0.0                      1.5706043243408203       0.1886322945356369       0.037441518157720566     0.34781888127326965      0.4942602515220642       0.2013775259256363       11.640889167785645       0.11640889942646027      1.0                      0.9981021881103516       3.249352216720581        -6.046347618103027       0.1320028305053711       -0.011787238530814648    0.7616706490516663       0.09401662647724152      0.21170958876609802      0.7524114847183228       0.9240577220916748       0.2610810697078705       1.0667634010314941       0.9751564860343933       0.5552753806114197       1.0664429664611816       0.34743034839630127      0.2614273726940155       1.0                      
500                      0.38909019947052004      65667072                 47702.08703330619        0                        2509.08056640625         0.0                      58.1199951171875         13251                    0.0                      64.25727844238281        200960                   0.6990131139755249       1.6541551351547241       -0.003744034795090556    0.10022888332605362      1.0001027584075928       0.0                      6.119977951049805        0.009145347401499748     0.0012779291719198227    0.0                      1.7210021018981934       0.1430366337299347       0.04131210595369339      0.3534611463546753       0.4917885959148407       0.21513371169567108      6.637840747833252        0.06637841463088989      1.0                      0.9982872009277344       3.207669258117676        -6.195005416870117       0.1130509227514267       -0.0025115511380136013   0.8407721519470215       0.10126961767673492      0.20902730524539948      0.7042214870452881       0.8312940001487732       0.24243034422397614      0.968593180179596        0.9384862780570984       0.5282427072525024       1.044023871421814        0.3474993109703064       0.26453354954719543      1.0                      
600                      0.4651218877898322       78774272                 47886.639180824925       0                        2509.28369140625         0.0                      61.908531188964844       12561                    0.0                      66.23481750488281        194743                   0.5818164944648743       1.8562757968902588       -0.004160215612500906    0.10038452595472336      0.9998306632041931       0.0                      6.016966819763184        0.008373560383915901     0.0012228185078129172    0.0                      1.7625958919525146       0.11810621619224548      0.04192652925848961      0.34967291355133057      0.4762573540210724       0.22308847308158875      4.121239185333252        0.04121238738298416      1.0                      0.9987239837646484       3.2182936668395996       -6.273475646972656       0.09984373301267624      0.006527372635900974     0.7651770114898682       0.09752966463565826      0.19526703655719757      0.6672722101211548       0.8173179626464844       0.2339783012866974       0.9391432404518127       0.8867174983024597       0.501617968082428        0.9938408136367798       0.34747642278671265      0.2672625780105591       1.0                      
700                      0.5411255262957679       91881472                 47904.31302441723        0                        2509.28369140625         0.0                      60.848941802978516       12794                    0.0                      67.83480834960938        190306                   0.48811760544776917      1.8243283033370972       -0.0020443990360945463   0.10820160061120987      1.0000556707382202       0.0                      6.470426082611084        0.008226091973483562     0.0012120036408305168    0.0                      1.7935791015625          0.10632248967885971      0.04165848344564438      0.36151331663131714      0.47394588589668274      0.2490808367729187       2.851267099380493        0.02851266972720623      1.0                      0.9989738464355469       3.2743160724639893       -6.345775604248047       0.09911361336708069      -0.014458894729614258    0.7004560828208923       0.10032235085964203      0.1885930895805359       0.6310450434684753       0.7137399911880493       0.22108057141304016      0.8449002504348755       0.8639780879020691       0.5164180994033813       0.9941166639328003       0.3473567068576813       0.26969650387763977      1.0                      
800                      0.6162501037120819       104988672                48464.86263105045        0                        2509.28369140625         0.0                      63.025516510009766       12387                    0.0                      67.3861312866211         191548                   0.45462435483932495      1.865350604057312        -0.0040357885882258415   0.11394196003675461      0.9995474219322205       0.0                      6.625543117523193        0.010293585248291492     0.0013557812198996544    0.0                      1.8479266166687012       0.09909705817699432      0.04074884206056595      0.3650800585746765       0.4739343822002411       0.2562258839607239       2.184019088745117        0.021840188652276993     1.0                      0.9991245269775391       3.3190014362335205       -6.389275550842285       0.09733004868030548      4.0693324990570545e-05   0.6762232780456543       0.09674402326345444      0.17728541791439056      0.5771743655204773       0.7354530692100525       0.2198915034532547       0.861158013343811        0.8371235132217407       0.48082152009010315      0.9551495909690857       0.3472703695297241       0.2711704969406128       1.0                      
900                      0.6904970380332734       118095872                49037.740029304805       0                        2509.28369140625         0.0                      63.92044448852539        12331                    0.0                      69.15331268310547        186516                   0.4267694652080536       2.067185163497925        -0.0037104978691786528   0.109344482421875        0.9997408986091614       0.0                      6.894933223724365        0.010221108794212341     0.0013510013232007623    0.0                      2.134829044342041        0.09696991741657257      0.04075009375810623      0.3806973695755005       0.48650994896888733      0.2748848497867584       1.8150087594985962       0.0181500855833292       1.0                      0.9992923736572266       3.338409423828125        -6.211398601531982       0.0986495092511177       0.007064556237310171     0.6552947163581848       0.09726274758577347      0.17091409862041473      0.5205264091491699       0.6677477359771729       0.19825470447540283      0.7955142855644226       0.8072640895843506       0.4605115056037903       0.9055595993995667       0.3472703695297241       0.2711704969406128       1.0                      
