Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.005983009934425354     131072                   6085.379982305817        0                        2478.51953125            0.0                      39.06309509277344        20508                    0.0                      16.356021881103516       2292                     1328.3043212890625       1228.7198486328125       -0.0029305447824299335   0.02528991736471653      1.0005086660385132       0.0                      2.999359369277954        0.0041652885265648365    0.0008624439942650497    0.0                      0.5645069479942322       2.4170784950256348       0.464857280254364        4.239073753356934        152.8314208984375        1.5283137559890747       0.6875                   0.9063243865966797       0.003774952609091997     -9.177063941955566       4.052112579345703        46.72593688964844        25.845577239990234       6.050494194030762        3.170232057571411        0.810003399848938        1.3045991659164429       0.4148610532283783       1.591681957244873        1.1758308410644531       0.6513046026229858       1.3281724452972412       0.35983049869537354      0.27364712953567505      1.0                      
100                      0.08148429142104255      13238272                 48223.087396244104       0                        2509.82958984375         0.0                      44.9532585144043         17208                    0.0                      49.1580810546875         262288                   0.09056302160024643      0.2394004911184311       -0.005359914153814316    0.05262298509478569      0.9998897910118103       0.0                      3.515967607498169        0.006201683543622494     0.0010523542296141386    0.0                      0.6426164507865906       0.8903979063034058       0.0543668307363987       0.6146883964538574       77.45623779296875        0.7745624780654907       1.0                      1.0                      2.3557839393615723       -4.606257438659668       0.2121441513299942       0.005919497460126877     0.3022894263267517       0.04326740652322769      0.05533747375011444      0.817167341709137        1.220859169960022        0.3779962956905365       1.5053149461746216       1.122322678565979        0.6232016682624817       1.2238917350769043       0.3459993004798889       0.25925371050834656      1.0                      
200                      0.15784086611535814      26345472                 47682.87010959345        0                        2509.82958984375         0.0                      48.65559387207031        15834                    0.0                      56.05361557006836        230117                   0.1558361053466797       0.36123228073120117      -0.0040713027119636536   0.07583313435316086      1.0000711679458618       0.0                      4.800532341003418        0.006609821226447821     0.0010864303912967443    0.0                      0.8825197219848633       0.47447770833969116      0.03281554952263832      0.3894023895263672       40.272193908691406       0.40272200107574463      1.0                      0.9999599456787109       3.1445837020874023       -4.790731430053711       0.14029663801193237      -0.0001230146735906601   0.3967159390449524       0.06526396423578262      0.11645743995904922      0.8094386458396912       1.1182290315628052       0.3371746242046356       1.3545953035354614       1.0683512687683105       0.6013783812522888       1.1622143983840942       0.3469323217868805       0.2576252520084381       1.0                      
300                      0.2335182401869032       39452672                 48110.827787417584       0                        2509.82958984375         0.0                      55.83530807495117        13988                    0.0                      60.446537017822266       213372                   0.2718948423862457       0.5397699475288391       -0.0006872873636893928   0.08945617824792862      0.9997531771659851       0.0                      5.561845779418945        0.007764379493892193     0.0011774977901950479    0.0                      1.1126348972320557       0.2753908634185791       0.030694294720888138     0.29897335171699524      21.47992706298828        0.21479924023151398      1.0                      0.9994392395019531       3.441434621810913        -4.8645172119140625      0.0976090282201767       -0.002530384110286832    0.5240534543991089       0.07881078124046326      0.16458699107170105      0.7973492741584778       1.0729823112487793       0.30923017859458923      1.2628743648529053       1.0324445962905884       0.5848352313041687       1.133070945739746        0.3473586440086365       0.2592630386352539       1.0                      
400                      0.3091005649169286       52559872                 48171.32861836508        0                        2509.82958984375         0.0                      59.08597946166992        13431                    0.0                      62.91054153442383        205341                   0.5068947672843933       1.0479977130889893       -0.0034388203639537096   0.09256439656019211      1.0001327991485596       0.0                      6.073493480682373        0.007505066692829132     0.0011576671386137605    0.0                      1.4628559350967407       0.18050040304660797      0.03282972052693367      0.27792587876319885      11.987809181213379       0.11987808346748352      1.0                      0.998931884765625        3.5097708702087402       -4.9451823234558105      0.06981970369815826      -0.003965879790484905    0.7159425616264343       0.08891139179468155      0.18168850243091583      0.7792350053787231       0.9482296109199524       0.27575159072875977      1.099134087562561        0.9923869967460632       0.5810843110084534       1.1266692876815796       0.347557932138443        0.2625904083251953       1.0                      
500                      0.3847512734598584       65667072                 48127.78736118805        0                        2509.82958984375         0.0                      59.57490539550781        12854                    0.0                      63.39039993286133        203699                   0.4520275890827179       1.2910430431365967       -0.0061453403905034065   0.09797210991382599      0.9998421669006348       0.0                      5.894357681274414        0.007558880839496851     0.0011618096614256501    0.0                      1.541934609413147        0.13340729475021362      0.034344736486673355     0.2660042941570282       7.246212959289551        0.07246212661266327      1.0                      0.9991989135742188       3.533611297607422        -4.995457649230957       0.05129922553896904      0.0005237559089437127    0.6748529076576233       0.09240515530109406      0.16861742734909058      0.7168970108032227       0.8050070405006409       0.24298983812332153      0.9435837864875793       0.9399451017379761       0.5307782292366028       1.039915680885315        0.34773609042167664      0.2659752070903778       1.0                      
600                      0.45936920324961344      78774272                 48793.91728634568        0                        2509.82958984375         0.0                      60.6431770324707         12869                    0.0                      64.24827575683594        201349                   0.44062745571136475      1.3982897996902466       -0.003948548808693886    0.09618835896253586      1.0001219511032104       0.0                      6.050015926361084        0.008663339540362358     0.0012437963159754872    0.0                      1.6916195154190063       0.11054996401071548      0.03486977517604828      0.2672557234764099       4.8954620361328125       0.04895460978150368      1.0                      0.9993610382080078       3.5733208656311035       -5.018187999725342       0.03936706855893135      -0.0034668678417801857   0.665377140045166        0.09482713788747787      0.16032828390598297      0.6546952724456787       0.7231490015983582       0.2192344069480896       0.8463664650917053       0.8783382177352905       0.5161447525024414       0.955308198928833        0.3478013277053833       0.2688755393028259       1.0                      
700                      0.533390572865804        91881472                 49187.16243149262        0                        2509.82958984375         0.0                      61.94868850708008        12762                    0.0                      63.18875503540039        204720                   0.36197006702423096      1.5019720792770386       -0.0033081562723964453   0.10357208549976349      0.999548614025116        0.0                      6.270841121673584        0.009903591126203537     0.0013298506382852793    0.0                      1.7400165796279907       0.09876547753810883      0.03451130911707878      0.2720928192138672       3.7044870853424072       0.03704487159848213      1.0                      0.9994544982910156       3.620391368865967        -4.905738353729248       0.03207215294241905      -0.0031235271599143744   0.6032177805900574       0.09227302670478821      0.15002276003360748      0.630119800567627        0.6863712668418884       0.20866495370864868      0.790431797504425        0.8494811058044434       0.5194113254547119       0.9592433571815491       0.3477228283882141       0.27158212661743164      1.0                      
800                      0.607449378768603        104988672                49162.301474978645       0                        2509.82958984375         0.0                      61.964290618896484       12814                    0.0                      66.11967468261719        195581                   0.28700894117355347      1.264147400856018        -0.002090291352942586    0.11783142387866974      1.000389814376831        0.0                      6.780147552490234        0.011598250828683376     0.0014391386648640037    0.0                      1.9942517280578613       0.09104297310113907      0.03327216953039169      0.2722892761230469       3.0541861057281494       0.030541855841875076     1.0                      0.9995632171630859       3.667789936065674        -4.827226638793945       0.027439475059509277     -0.006399114150553942    0.536971390247345        0.08575484901666641      0.1354067474603653       0.5945585370063782       0.6575071811676025       0.19710415601730347      0.7621319890022278       0.8234614729881287       0.5098922252655029       0.9297633767127991       0.34760358929634094      0.2730605900287628       1.0                      
900                      0.6815377732117971       118095872                49142.66781710156        0                        2509.82958984375         0.0                      69.44268798828125        10924                    0.0                      68.94075012207031        187421                   0.2601734697818756       1.2748141288757324       -0.0037434238474816084   0.11806488037109375      1.0000680685043335       0.0                      7.019284248352051        0.009651018306612968     0.0013127833371981978    0.0                      1.9014041423797607       0.08647288382053375      0.03230619430541992      0.27589884400367737      2.6576802730560303       0.026576807722449303     1.0                      0.9996166229248047       3.6897661685943604       -4.770312786102295       0.024462025612592697     -0.007767014671117067    0.511169970035553        0.08112198114395142      0.1311865746974945       0.5740883350372314       0.6551805734634399       0.1977793276309967       0.7629244327545166       0.8081333637237549       0.46128734946250916      0.896127462387085        0.34760358929634094      0.2730605900287628       1.0                      
1000                     0.7558617748816808       131203072                48986.87847455866        0                        2509.82958984375         0.0                      75.78131866455078        10212                    0.0                      73.76679992675781        174970                   0.2862253189086914       1.4439022541046143       -0.0029520445968955755   0.11600341647863388      0.9999423027038574       0.0                      7.305267333984375        0.010713095776736736     0.00138313346542418      0.0                      2.2175040245056152       0.08602555841207504      0.032540544867515564     0.2961045205593109       2.3874542713165283       0.023874545469880104     1.0                      0.9996318817138672       3.6914567947387695       -4.540471076965332       0.02281205728650093      0.011403420940041542     0.5368486642837524       0.08399950712919235      0.12716300785541534      0.47926679253578186      0.5048626661300659       0.15656276047229767      0.6187294721603394       0.7769371867179871       0.40928804874420166      0.7334768772125244       0.34760358929634094      0.2730605900287628       1.0                      
1100                     0.8299946610132853       144310272                49113.16826610908        0                        2509.82958984375         0.0                      77.43473052978516        9585                     0.0                      78.78138732910156        163605                   0.29311567544937134      1.619025707244873        -0.004331294912844896    0.11889190971851349      0.9995051622390747       1.2793828219059833e-08   7.603543758392334        0.009011726826429367     0.0012685583205893636    0.0                      2.535079002380371        0.08656514436006546      0.033017292618751526     0.31787341833114624      2.1760504245758057       0.02176050655543804      1.0                      0.9996871948242188       3.664407253265381        -4.35757303237915        0.021805981174111366     -0.006242428906261921    0.5424799919128418       0.08376339077949524      0.12365967035293579      0.4636692702770233       0.45013943314552307      0.14501918852329254      0.5658080577850342       0.7532680034637451       0.38326480984687805      0.686329185962677        0.34760358929634094      0.2730605900287628       1.0                      
1200                     0.9041635155677795       157417472                49089.358577373416       0                        2509.82958984375         0.0                      80.43568420410156        9411                     0.0                      83.4859390258789         154205                   0.3055798411369324       1.748153567314148        -0.004062739200890064    0.14119873940944672      1.000372052192688        5.394747404352529e-08    8.605940818786621        0.010877097025513649     0.0013936798786744475    0.0                      2.718557834625244        0.08879151195287704      0.034281231462955475     0.34667277336120605      1.9843000173568726       0.019842999055981636     1.0                      0.9997291564941406       3.6029372215270996       -4.230050086975098       0.021329453215003014     -0.011700893752276897    0.5545333623886108       0.08472166210412979      0.12394385039806366      0.444254606962204        0.39853864908218384      0.13199082016944885      0.5128439664840698       0.7273378968238831       0.3634619414806366       0.6368209719657898       0.34760358929634094      0.2730605900287628       1.0                      
1300                     0.9786292721165551       170524672                48893.632912910674       0                        2509.82958984375         0.0                      81.57412719726562        9597                     0.0                      87.77452850341797        146567                   0.3327403664588928       2.0272233486175537       -0.004289980977773666    0.15010376274585724      1.00015127658844         4.6090409000498767e-07   8.801770210266113        0.01258929818868637      0.0014993654331192374    0.0                      2.68939471244812         0.09294746816158295      0.036611396819353104     0.38284963369369507      1.8051114082336426       0.018051115795969963     1.0                      0.9997100830078125       3.5158002376556396       -4.110865592956543       0.02136657014489174      0.00299942959100008      0.5778385996818542       0.09062590450048447      0.13024239242076874      0.4248441755771637       0.3617895543575287       0.12269309163093567      0.4778508245944977       0.7057250142097473       0.3463456332683563       0.6063734292984009       0.34760358929634094      0.2730605900287628       1.0                      
1400                     1.052837957938512        183631872                49063.00577510406        0                        2509.82958984375         0.0                      86.42604064941406        8743                     0.0                      91.02717590332031        141188                   0.37701770663261414      2.2565500736236572       -0.005478136241436005    0.14403076469898224      0.9995166063308716       8.50361175253056e-06     8.93305492401123         0.009609371423721313     0.0013099487405270338    8.71930842549773e-06     2.8255794048309326       0.09719013422727585      0.0391971692442894       0.41570165753364563      1.6422791481018066       0.01642278954386711      1.0                      0.9997291564941406       3.418825626373291        -4.030842304229736       0.021710367873311043     0.00700013991445303      0.6165066957473755       0.09480099380016327      0.13261070847511292      0.39207330346107483      0.3480851352214813       0.11683062463998795      0.4641914367675781       0.6922442317008972       0.3173163831233978       0.5987023115158081       0.34760358929634094      0.2730605900287628       1.0                      
