Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Relative_Loss       Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Order_Acc           Disc_Anchor_Logit        Disc_Neg_Logit           Disc_Relative_Logit      Disc_Relative_Abs_Logit  Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.001753565337922838     131072                   20762.778609673333       0                        2518.13134765625         0.0                      60.0                     4096                     0.0                      0.0                      0                        61.181129455566406       84.95500946044922        -0.00549624627456069     0.05208435282111168      0.9998133778572083       0.0                      4.386898994445801        0.0039421021938323975    0.0008390177972614765    0.0                      0.7312156558036804       6.789031505584717        0.09343206882476807      2.475863456726074        174.38719177246094       0.9484310150146484       -0.004756827838718891    -2.7471723556518555      -2.742414951324463       2.8761210441589355       15.426299095153809       9.923945426940918        4.3352179527282715       0.9856550693511963       0.5956642031669617       0.5708258748054504       1.569370150566101        0.45539864897727966      1.613118290901184        1.738593578338623        0.6286813616752625       1.7987982034683228       0.09140197187662125      0.4328060746192932       1.0                      
100                      0.06441050006283654      13238272                 58108.62824951587        0                        2551.1123046875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.1167462021112442       0.9681899547576904       -0.01571725681424141     0.11285553127527237      0.999743640422821        0.0                      6.507167339324951        0.009339391253888607     0.0012914154212921858    0.0                      1.0416851043701172       1.4802242517471313       0.02425502985715866      0.19863958656787872      105.86902618408203       1.0                      0.010082060471177101     -3.0226645469665527      -3.0327465534210205      3.0327465534210205       0.3672294020652771       0.05278212949633598      0.3438374996185303       0.1928904950618744       0.046913567930459976     0.5575411915779114       1.5560590028762817       0.4617098867893219       1.6130354404449463       1.7969956398010254       0.625201404094696        1.8011153936386108       0.0810009017586708       0.4140870273113251       1.0                      
200                      0.12577523337470162      26345472                 59332.271275288156       0                        2551.1123046875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.155828058719635        2.1629960536956787       -0.014141052961349487    0.11593475192785263      1.0001722574234009       0.0                      7.1441802978515625       0.009118703193962574     0.0012760651297867298    0.0                      1.3321384191513062       0.9395877718925476       0.03535931184887886      0.0999898910522461       70.42485809326172        1.0                      0.015884432941675186     -2.6468923091888428      -2.6627769470214844      2.6627769470214844       0.24839046597480774      0.10875814408063889      0.39685338735580444      0.2893490195274353       0.0919882208108902       0.5466902256011963       1.5492947101593018       0.4589962661266327       1.6003133058547974       1.835204839706421        0.6349434852600098       1.8317055702209473       0.08202245831489563      0.41807812452316284      1.0                      
300                      0.18652441091007657      39452672                 59933.44895459013        0                        2551.4560546875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.19279144704341888      2.2978122234344482       -0.016437523066997528    0.12162476032972336      1.0000804662704468       0.0                      7.658664226531982        0.010840862058103085     0.0013913573930040002    0.0                      1.688796043395996        0.6529360413551331       0.04400128871202469      0.06407426297664642      48.07860565185547        1.0                      0.020078595727682114     -2.428126335144043       -2.448204278945923       2.448204278945923        0.19440864026546478      0.08732026815414429      0.44406190514564514      0.36156344413757324      0.1350095123052597       0.5562108159065247       1.5209436416625977       0.4491170644760132       1.5671275854110718       1.834681510925293        0.6527508497238159       1.8750641345977783       0.08292992413043976      0.4210975468158722       1.0                      
400                      0.24823513752884335      52559872                 58999.58824335736        0                        2551.4560546875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.14978787302970886      2.0360217094421387       -0.014509635977447033    0.13718871772289276      0.9995843172073364       0.0                      8.334457397460938        0.0110202357172966       0.0014028198784217238    0.0                      1.8686554431915283       0.48035159707069397      0.05154510959982872      0.04814086854457855      33.25246810913086        1.0                      0.02294473722577095      -2.2835493087768555      -2.3064944744110107      2.3064944744110107       0.16035954654216766      0.05788680166006088      0.39263060688972473      0.42590832710266113      0.19335754215717316      0.5801538228988647       1.431208848953247        0.4276038408279419       1.5061073303222656       1.8025556802749634       0.6597554087638855       1.8671399354934692       0.08362450450658798      0.4236018657684326       1.0                      
500                      0.30932689309120176      65667072                 59597.45664702988        0                        2551.4560546875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.13258562982082367      2.6490583419799805       -0.010553303174674511    0.1583099365234375       0.9996933937072754       0.0                      9.63862419128418         0.010754129849374294     0.0013857799349352717    0.0                      2.257814884185791        0.37089863419532776      0.05924458056688309      0.03989909961819649      23.185588836669922       1.0                      0.02540818229317665      -2.161323308944702       -2.1867313385009766      2.1867313385009766       0.1348733752965927       0.08697299659252167      0.37051549553871155      0.4892336428165436       0.24869169294834137      0.5744102001190186       1.3801426887512207       0.4130649268627167       1.461807370185852        1.7166433334350586       0.6438896059989929       1.840013027191162        0.08395079523324966      0.4249735474586487       1.0                      
600                      0.3699564598666297       78774272                 60051.68714897272        0                        2551.4560546875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.1630123406648636       2.780151128768921        -0.011241908185184002    0.16199493408203125      0.9987090229988098       0.0                      9.854951858520508        0.011348266154527664     0.0014235457638278604    0.0                      2.402540445327759        0.299697607755661        0.06640444695949554      0.0352889746427536       16.27152442932129        1.0                      0.028106963261961937     -2.056170701980591       -2.084277629852295       2.084277629852295        0.11447242647409439      0.07624484598636627      0.40816599130630493      0.5429630279541016       0.28221291303634644      0.543567955493927        1.330222487449646        0.3988128900527954       1.4102402925491333       1.6261311769485474       0.6156755685806274       1.8127602338790894       0.0840931087732315       0.42566099762916565      1.0                      
700                      0.4315705786810981       91881472                 59092.09751394226        0                        2551.4560546875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.2332780808210373       3.465414047241211        -0.012139420956373215    0.16428375244140625      0.999668300151825        0.0                      10.108832359313965       0.01387585885822773      0.0015741151291877031    0.0                      2.5593533515930176       0.2530308961868286       0.07298675179481506      0.03258465975522995      11.487480163574219       1.0                      0.030830081552267075     -1.9625674486160278      -1.9933974742889404      1.9933974742889404       0.0970572680234909       0.07733943313360214      0.4900279641151428       0.591476559638977        0.30020883679389954      0.5028164386749268       1.3111329078674316       0.3848700225353241       1.349564552307129        1.5371387004852295       0.5891502499580383       1.773118019104004        0.08407415449619293      0.4258256256580353       1.0                      
800                      0.4929248978032006       104988672                59342.42621476648        0                        2551.4560546875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.4329962432384491       3.555593967437744        -0.012059885077178478    0.16808319091796875      1.0000178813934326       0.0                      10.04092788696289        0.011740121059119701     0.0014479144010692835    0.0                      2.8877720832824707       0.22322554886341095      0.07931502163410187      0.03115685097873211      8.159677505493164        1.0                      0.032771266996860504     -1.872197151184082       -1.9049683809280396      1.9049683809280396       0.08292198181152344      0.08156131207942963      0.6684175729751587       0.6343370676040649       0.3069525957107544       0.4715961813926697       1.2803866863250732       0.3705529570579529       1.291183590888977        1.4649685621261597       0.5825006365776062       1.7583669424057007       0.08396577090024948      0.4258915185928345       1.0                      
900                      0.5537805090347926       118095872                59828.62284881864        0                        2551.4560546875          0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.6281042695045471       5.832327842712402        -0.015749793499708176    0.16802215576171875      0.9998060464859009       0.0                      10.2261381149292         0.015440534800291061     0.001660494483076036     0.0                      2.9512124061584473       0.20419104397296906      0.08510076999664307      0.03035801276564598      5.837424278259277        1.0                      0.0339641273021698       -1.7896901369094849      -1.8236545324325562      1.8236545324325562       0.07049227505922318      0.11136734485626221      0.8016617298126221       0.6688889861106873       0.309888631105423        0.46252575516700745      1.2517694234848022       0.36064186692237854      1.2485114336013794       1.37983238697052         0.5892379283905029       1.735946774482727        0.08396577090024948      0.4258915185928345       1.0                      
