Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Distance_Mean       Disc_Distance_Std        Disc_Anchor_Bias         Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.003432552085982429     262144                   21213.888661775876       0                        6156.59765625            0.0                      16.45458221435547        24847                    0.0                      14.874530792236328       11413                    6.011471271514893        15.38234806060791        -0.0015292710158973932   0.011607361026108265     0.9999440312385559       0.0                      1.9670408964157104       0.003287439001724124     0.0007661887211725116    0.0                      0.35150158405303955      0.42579081654548645      0.42579081654548645      0.0                      0.0                      0.0                      0.96875                  1.0                      0.004100148566067219     -1.9405461549758911      1.9446467161178589       0.744432806968689        0.004100148566067219     146.0                    1022.0                   0.2922399640083313       2.38358211517334         1.7053829431533813       0.3068374991416931       0.16552814841270447      0.26995086669921875      0.5449635982513428       0.25037750601768494      0.9800244569778442       1.2806538343429565       0.49339768290519714      1.0854412317276          0.372755765914917        0.273825079202652        1.0                      
100                      0.11219649222162034      26476544                 66950.47643342821        0                        6189.70458984375         0.0                      20.684532165527344       24611                    0.0                      19.91964340209961        1310573                  0.12950706481933594      0.35835352540016174      -0.00785257387906313     0.09049683064222336      1.0000816583633423       0.0                      3.4691452980041504       0.007770163472741842     0.0011779350461438298    0.0                      0.5200687646865845       0.1621982902288437       0.1621982902288437       0.0                      0.0                      0.0                      1.0                      1.0                      1.1681023836135864       -3.8457930088043213      5.013895511627197        1.580970287322998        1.1681023836135864       146.0                    1022.0                   0.12757529318332672      0.00047444255324080586   0.36257684230804443      0.15669268369674683      0.1760760098695755       0.22540178894996643      0.34185314178466797      0.18146759271621704      0.680997371673584        1.0728840827941895       0.39313194155693054      0.7702752351760864       0.36350566148757935      0.25841307640075684      1.0                      
200                      0.22140562031004163      52690944                 66677.53316687203        0                        6189.70458984375         0.0                      26.978271484375          17942                    0.0                      25.429447174072266       1024853                  1.0997365713119507       1.444858193397522        -0.00772881368175149     0.11790924519300461      1.0000704526901245       0.0                      5.614356517791748        0.007600507698953152     0.0011650052620097995    0.0                      0.8186883926391602       0.14137011766433716      0.14137011766433716      0.0                      0.0                      0.0                      1.0                      0.9939565658569336       1.655785083770752        -3.557180643081665       5.212965488433838        2.149097442626953        1.655785083770752        146.0                    1022.0                   0.11206914484500885      -0.0027035954408347607   1.0586000680923462       0.32448720932006836      0.3454669713973999       0.17992599308490753      0.2937747538089752       0.11827322095632553      0.474812775850296        0.8862500786781311       0.3323246240615845       0.6198856830596924       0.3585468828678131       0.25792035460472107      1.0                      
300                      0.3309366481833988       78905344                 66481.58126808268        0                        6189.70458984375         0.0                      33.12913513183594        19497                    0.0                      33.32819747924805        780896                   2.621433734893799        6.657018661499023        -0.0029865424148738384   0.07770004123449326      1.0000633001327515       0.0                      4.765449523925781        0.007270684465765953     0.001139447558671236     0.0                      1.0893141031265259       0.1657288372516632       0.1657288372516632       0.0                      0.0                      0.0                      1.0                      0.9843368530273438       1.76659095287323         -2.888476610183716       4.655067443847656        2.284895181655884        1.76659095287323         146.0                    1022.0                   0.13874609768390656      0.10785526782274246      1.626847505569458        0.4682754874229431       0.4116474688053131       0.14520254731178284      0.18269860744476318      0.08080718666315079      0.2952931821346283       0.7525969743728638       0.2602427005767822       0.48934227228164673      0.35452693700790405      0.26117971539497375      1.0                      
400                      0.43957938154538473      105119744                67025.15218672523        0                        6189.74169921875         0.0                      37.61634826660156        17722                    0.0                      38.42942428588867        676776                   2.6424808502197266       8.198467254638672        -0.0030711418949067593   0.0699058547616005       0.9998174905776978       0.0                      4.912225246429443        0.007923606783151627     0.0011895091738551855    0.0                      1.3575246334075928       0.17597629129886627      0.17597629129886627      0.0                      0.0                      0.0                      1.0                      0.9901676177978516       1.7425304651260376       -2.662895917892456       4.405426502227783        2.347621440887451        1.7425304651260376       146.0                    1022.0                   0.15431629121303558      -0.011085457168519497    1.6309850215911865       0.44643282890319824      0.37983423471450806      0.13796782493591309      0.1499740034341812       0.06391220539808273      0.23269131779670715      0.6725291013717651       0.25472936034202576      0.436670184135437        0.3524675965309143       0.26426780223846436      1.0                      
500                      0.5502391038338343       131334144                65803.48641449741        0                        6189.74169921875         0.0                      47.90740203857422        27611                    0.0                      42.69563674926758        608328                   2.438694477081299        12.92635726928711        -0.0033581864554435015   0.0836891159415245       0.9997699856758118       4.5998524433876753e-10   6.074848651885986        0.006562136113643646     0.0010825020726770163    0.0                      1.5505683422088623       0.1805974841117859       0.1805974841117859       0.0                      0.0                      0.0                      1.0                      0.9942703247070312       1.693554162979126        -2.636690855026245       4.330244064331055        2.4153246879577637       1.693554162979126        146.0                    1022.0                   0.21410363912582397      0.007582662161439657     1.567748785018921        0.40494564175605774      0.3521239757537842       0.1776503622531891       0.19297778606414795      0.07763007283210754      0.2701888084411621       0.6572845578193665       0.2702844440937042       0.4840453863143921       0.3524675965309143       0.26426780223846436      1.0                      
600                      0.6613640477922228       157548544                65528.00425689253        0                        6189.74169921875         0.0                      56.037410736083984       22994                    0.0                      53.77470016479492        481559                   2.9599344730377197       24.47260093688965        -0.003486835630610585    0.07618866115808487      0.9996511340141296       3.0854558907833507e-09   6.251885414123535        0.007813706994056702     0.001181232277303934     0.0                      1.6758313179016113       0.17703405022621155      0.17703405022621155      0.0                      0.0                      0.0                      1.0                      0.9971437454223633       1.6791056394577026       -2.600034475326538       4.279139518737793        2.320904493331909        1.6791056394577026       146.0                    1022.0                   0.1623922437429428       -0.027710601687431335    1.7247809171676636       0.3802793323993683       0.3095081150531769       0.15725690126419067      0.1555057317018509       0.05951350927352905      0.20952163636684418      0.6240904331207275       0.24411176145076752      0.423661470413208        0.3524675965309143       0.26426780223846436      1.0                      
700                      0.7723912505308786       183762944                65585.69116426088        0                        6189.74169921875         0.0                      63.2225227355957         20936                    0.0                      61.171234130859375       422651                   3.028376579284668        39.336158752441406       -0.0042704022489488125   0.09550781548023224      0.9996775984764099       1.4803565306920063e-07   7.103328227996826        0.008773092180490494     0.0012516496935859323    0.0                      1.9979335069656372       0.17797839641571045      0.17797839641571045      0.0                      0.0                      0.0                      1.0                      0.9983844757080078       1.6683049201965332       -2.4920525550842285      4.160357475280762        2.212705373764038        1.6683049201965332       146.0                    1022.0                   0.28466033935546875      0.009565146639943123     1.7464563846588135       0.38966721296310425      0.29033374786376953      0.12571926414966583      0.13547246158123016      0.049629148095846176     0.17669129371643066      0.5824922323226929       0.20190872251987457      0.39142781496047974      0.3524675965309143       0.26426780223846436      1.0                      
800                      0.8835048613945643       209977344                65534.685495116544       0                        6189.74169921875         0.0                      68.85116577148438        18708                    0.0                      68.07403564453125        378960                   3.1711857318878174       84.59795379638672        -0.005559909623116255    0.09878692775964737      0.9996471405029297       3.8792487089267524e-07   7.295865535736084        0.007965429686009884     0.0011926449369639158    8.71930842549773e-06     2.220611572265625        0.1794547438621521       0.1794547438621521       0.0                      0.0                      0.0                      1.0                      0.9990148544311523       1.657240867614746        -2.3859758377075195      4.043217182159424        2.103771209716797        1.657240867614746        146.0                    1022.0                   0.17928093671798706      -0.050626710057258606    1.7661396265029907       0.3884596824645996       0.27468013763427734      0.10129107534885406      0.11920683830976486      0.043921589851379395     0.1544102132320404       0.5580917000770569       0.18122266232967377      0.37132683396339417      0.3524675965309143       0.26426780223846436      1.0                      
900                      0.995322431590822        236191744                65122.108197989386       0                        6189.74169921875         0.0                      75.52064514160156        19572                    0.0                      75.27978515625           342009                   2.9211268424987793       80.57423400878906        -0.006817986257374287    0.09038849174976349      0.9998515248298645       1.3313129443304206e-07   6.938828468322754        0.008701017126441002     0.0012464977335184813    8.71930842549773e-06     2.2494289875030518       0.17931410670280457      0.17931410670280457      0.0                      0.0                      0.0                      1.0                      0.9994058609008789       1.6502188444137573       -2.333446502685547       3.9836654663085938       2.031864881515503        1.6502188444137573       146.0                    1022.0                   0.2929587662220001       0.017230957746505737     1.6846916675567627       0.3782787322998047       0.26003319025039673      0.0893378034234047       0.106938436627388        0.04010613262653351      0.13925692439079285      0.5361929535865784       0.1663855016231537       0.34794026613235474      0.3524675965309143       0.26426780223846436      1.0                      
