Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Distance_Mean       Disc_Distance_Std        Disc_Anchor_Bias         Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0023356546958287557    262144                   31176.602392392593       0                        6155.07861328125         0.0                      10.778024673461914       8573                     0.0                      10.814685821533203       20414                    0.21308909356594086      3.16013240814209         -0.002937945071607828    0.025562286376953125     1.0003420114517212       0.0                      2.4077653884887695       0.004886319860816002     0.0009341123513877392    0.0                      0.39595475792884827      0.374536395072937        0.374536395072937        0.0                      0.0                      0.0                      0.96875                  1.0                      0.005118848755955696     -2.9632623195648193      2.96838116645813         0.6580341458320618       0.005118848755955696     146.0                    1022.0                   0.2735423743724823       0.4967629909515381       0.2964783310890198       0.10713604837656021      0.05168171972036362      0.15397348999977112      0.2893294394016266       0.16156667470932007      0.7181473970413208       2.0944113731384277       0.6061943769454956       1.3323591947555542       0.3837490379810333       0.24475954473018646      1.0                      
Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Distance_Mean       Disc_Distance_Std        Disc_Anchor_Bias         Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
100                      0.10635408474339379      26476544                 70004.88963071966        1                        6185.93505859375         0.0                      13.5374755859375         8192                     0.0                      12.323295593261719       2122981                  0.03890927508473396      0.2269938588142395       -0.008565734140574932    0.11864471435546875      1.0001068115234375       0.0                      5.237660884857178        0.009793455712497234     0.0013224357971921563    0.0                      0.7980154156684875       0.1673235148191452       0.1673235148191452       0.0                      0.0                      0.0                      1.0                      0.9999961853027344       1.1556634902954102       -3.9767024517059326      5.132365703582764        2.050104856491089        1.1556634902954102       146.0                    1022.0                   0.11844285577535629      -0.010285990312695503    0.19900542497634888      0.18039265275001526      0.20440196990966797      0.13323606550693512      0.16837051510810852      0.11049531400203705      0.4620440602302551       1.6063673496246338       0.4616273045539856       0.9069942235946655       0.3745904564857483       0.23890787363052368      1.0                      
200                      0.2085111180941264       52690944                 71280.4401675898         1                        6186.50341796875         0.0                      40.17451095581055        9203                     0.0                      18.446073532104492       1412947                  0.41185519099235535      0.7581681609153748       -0.0049090455286204815   0.08761902153491974      0.9999308586120605       0.0                      5.471768856048584        0.007976286113262177     0.0011934572830796242    0.0                      1.3055427074432373       0.12421869486570358      0.12421869486570358      0.0                      0.0                      0.0                      1.0                      0.9970369338989258       1.6690795421600342       -4.400228977203369       6.069309711456299        3.230073928833008        1.6690795421600342       146.0                    1022.0                   0.09753499180078506      0.004017221741378307     0.6478708982467651       0.1896878182888031       0.2549619972705841       0.4481528103351593       0.28368353843688965      0.12493297457695007      0.45329827070236206      1.582108974456787        0.6752038598060608       0.9375373721122742       0.3677727282047272       0.25076964497566223      1.0                      
300                      0.310118934445911        78905344                 71665.71987503195        1                        6186.50341796875         0.0                      56.94289016723633        8230                     0.0                      40.67237854003906        639497                   0.8237649202346802       1.1466014385223389       -0.0044989632442593575   0.07828216999769211      0.9995617270469666       0.0                      5.293246746063232        0.006829933263361454     0.0011043704580515623    0.0                      1.2025551795959473       0.1207302063703537       0.1207302063703537       0.0                      0.0                      0.0                      1.0                      0.9942045211791992       1.9097626209259033       -3.5371816158294678      5.446944236755371        2.624901056289673        1.9097626209259033       146.0                    1022.0                   0.10594408959150314      0.04574885591864586      0.9101129174232483       0.24915950000286102      0.2773420214653015       0.5816477537155151       0.16783754527568817      0.07944446802139282      0.29074516892433167      1.3339060544967651       0.6000005602836609       0.6714087128639221       0.3627992272377014       0.26590126752853394      1.0                      
400                      0.4108901741107305       105119744                72260.6702719135         1                        6187.01416015625         0.0                      58.06177520751953        8207                     0.0                      53.61976623535156        484485                   4.954960346221924        9.330093383789062        -0.008600718341767788    0.08009185642004013      1.0000556707382202       1.7539689451950835e-06   5.742446422576904        0.006445011589676142     0.0010727994376793504    0.0001220703125          1.802538514137268        0.12234215438365936      0.12234215438365936      0.0                      0.0                      0.0                      1.0                      0.9965219497680664       1.9977936744689941       -2.935992956161499       4.933786869049072        2.2803406715393066       1.9977936744689941       146.0                    1022.0                   0.18602286279201508      0.17597812414169312      2.2317471504211426       0.28387752175331116      0.22363580763339996      0.22408556938171387      0.10674450546503067      0.059729862958192825     0.2401154339313507       1.2442673444747925       0.3827020227909088       0.600124716758728        0.36004868149757385      0.2734808623790741       1.0                      
500                      0.5109963015715281       131334144                72740.7792293051         1                        6187.01416015625         0.0                      57.80180740356445        8209                     0.0                      57.647403717041016       450564                   3.2267990112304688       7.984668254852295        -0.029434924945235252    0.07919921725988388      0.9998602271080017       4.5647968363482505e-05   5.179988861083984        0.006607650313526392     0.0010862521594390273    0.0016566686099395156    1.5500268936157227       0.13403844833374023      0.13403844833374023      0.0                      0.0                      0.0                      1.0                      0.9974899291992188       2.017902374267578        -2.3530800342559814      4.3709821701049805       1.4628387689590454       2.017902374267578        146.0                    1022.0                   0.23454144597053528      0.03331402316689491      1.7986851930618286       0.35008472204208374      0.23221461474895477      0.11157725751399994      0.0901581346988678       0.046734053641557693     0.19364631175994873      1.113723635673523        0.2867110073566437       0.5308035612106323       0.36004868149757385      0.2734808623790741       1.0                      
600                      0.6104136970970365       157548544                73244.71729185754        1                        6187.3193359375          0.0                      57.97002410888672        8206                     0.0                      57.85504913330078        448824                   2.241783380508423        11.003196716308594       -0.02692757546901703     0.0637611374258995       0.9999322891235352       6.209455750649795e-05    4.734645843505859        0.006837020628154278     0.0011049441527575254    0.0025983538944274187    1.8425402641296387       0.1452600657939911       0.1452600657939911       0.0                      0.0                      0.0                      1.0                      0.9988613128662109       1.9562674760818481       -2.2063257694244385      4.16259241104126         1.304079532623291        1.9562674760818481       146.0                    1022.0                   0.17385046184062958      0.010587077587842941     1.4982495307922363       0.3802781403064728       0.2512581944465637       0.09774034470319748      0.06239552050828934      0.03597627580165863      0.15229466557502747      1.0605037212371826       0.2595353424549103       0.5079349875450134       0.36004868149757385      0.2734808623790741       1.0                      
700                      0.7095914130740696       183762944                73421.71322844517        1                        6187.3193359375          0.0                      57.946022033691406       8208                     0.0                      57.901344299316406       448460                   1.4701441526412964       13.280221939086914       -0.02052883990108967     0.07608413696289062      1.0000905990600586       9.893741662381217e-05    5.613772392272949        0.005681730341166258     0.0010072734439745545    0.004603794775903225     2.146519184112549        0.1550615131855011       0.1550615131855011       0.0                      0.0                      0.0                      1.0                      0.999485969543457        1.8821016550064087       -2.1111528873443604      3.9932546615600586       1.3066843748092651       1.8821016550064087       146.0                    1022.0                   0.27215930819511414      0.0021100451704114676    1.2172715663909912       0.38012754917144775      0.24227382242679596      0.09354191273450851      0.05294802412390709      0.029967963695526123     0.12731793522834778      1.004944086074829        0.24430306255817413      0.5005565285682678       0.36004868149757385      0.2734808623790741       1.0                      
800                      0.8085128348403506       209977344                73611.9429281227         1                        6187.3193359375          0.0                      57.9967155456543         8210                     0.0                      58.006927490234375       447804                   0.811389148235321        16.486465454101562       -0.011534283868968487    0.0966590866446495       1.0001105070114136       0.00011040278332075104   7.649285316467285        0.008597392588853836     0.0012390549527481198    0.004769461695104837     2.610297679901123        0.15906336903572083      0.15906336903572083      0.0                      0.0                      0.0                      1.0                      0.9997138977050781       1.8267700672149658       -2.110579252243042       3.937349557876587        1.365567922592163        1.8267700672149658       146.0                    1022.0                   0.2728867828845978       0.04574364796280861      0.9009000062942505       0.3711261749267578       0.23358669877052307      0.09110640734434128      0.05453101918101311      0.029224833473563194     0.11905862390995026      0.9591782689094543       0.23424749076366425      0.5021935105323792       0.36004868149757385      0.2734808623790741       1.0                      
900                      0.9070951137940089       236191744                73865.18283888463        1                        6187.3193359375          0.0                      58.03118896484375        8208                     0.0                      58.102481842041016       447370                   0.5652139782905579       14.77381420135498        -0.006373255979269743    0.1273490935564041       0.9998167157173157       7.488429400837049e-05    11.622164726257324       0.006970888003706932     0.001115707796998322     0.004673549439758062     5.492264270782471        0.15993277728557587      0.15993277728557587      0.0                      0.0                      0.0                      1.0                      0.9998092651367188       1.794785737991333        -2.137265205383301       3.932050943374634        1.4249757528305054       1.794785737991333        146.0                    1022.0                   0.24367916584014893      -0.0002118016709573567   0.7516747117042542       0.35126733779907227      0.2249852567911148       0.08763223886489868      0.05367659777402878      0.027705181390047073     0.11525136232376099      0.9168115258216858       0.23415513336658478      0.494018018245697        0.36004868149757385      0.2734808623790741       1.0                      
1000                     1.005341929793358        262406144                74117.39635934494        1                        6187.3193359375          0.0                      58.117332458496094       8216                     0.0                      58.11323547363281        447329                   0.4738665521144867       30.91664695739746        -0.006259489338845015    0.10368271172046661      0.9999628067016602       8.604879985796288e-05    9.76175594329834         0.008112698793411255     0.00120361999142915      0.0052926200442016125    4.021603584289551        0.15682260692119598      0.15682260692119598      0.0                      0.0                      0.0                      1.0                      0.9998130798339844       1.7884702682495117       -2.2145330905914307      4.003003120422363        1.5273566246032715       1.7884702682495117       146.0                    1022.0                   0.2140285223722458       0.01007835566997528      0.6970491409301758       0.332616925239563        0.21827559173107147      0.08571481704711914      0.05346718803048134      0.027510693296790123     0.11541187018156052      0.8801965713500977       0.2325514405965805       0.48499366641044617      0.36004868149757385      0.2734808623790741       1.0                      
1100                     1.1032543673780228       288620544                74370.52649026262        1                        6187.3193359375          0.0                      58.04042434692383        8213                     0.0                      58.126651763916016       447257                   0.44858118891716003      25.300739288330078       -0.006711473222821951    0.11548461765050888      0.9998527765274048       0.00011068621097365394   10.208243370056152       0.007436283398419619     0.0011523510329425335    0.007324219215661287     5.38167142868042         0.15133161842823029      0.15133161842823029      0.0                      0.0                      0.0                      1.0                      0.9998540878295898       1.8006906509399414       -2.325700283050537       4.126391410827637        1.6909213066101074       1.8006906509399414       146.0                    1022.0                   0.32896214723587036      -0.03920881450176239     0.6675646305084229       0.31000566482543945      0.21074266731739044      0.08507645130157471      0.052974484860897064     0.027481066063046455     0.1147465705871582       0.8492103219032288       0.22715912759304047      0.4693313539028168       0.36004868149757385      0.2734808623790741       1.0                      
1200                     1.2011230538288753       314834944                74403.7591794887         1                        6187.3193359375          0.0                      58.32073974609375        8203                     0.0                      58.10622787475586        447423                   0.3713788092136383       25.414968490600586       -0.0020792135037481785   0.12149658054113388      0.9995957612991333       8.556948887417093e-05    11.761763572692871       0.01166190579533577      0.0014430821174755692    0.00627790205180645      3.2065539360046387       0.1500253528356552       0.1500253528356552       0.0                      0.0                      0.0                      1.0                      0.9998073577880859       1.8210545778274536       -2.3464221954345703      4.167476654052734        1.7868796586990356       1.8210545778274536       146.0                    1022.0                   0.22299055755138397      0.026544708758592606     0.6053716540336609       0.3079357147216797       0.21228699386119843      0.08340659737586975      0.049185048788785934     0.025790562853217125     0.10586854070425034      0.832439661026001        0.22920627892017365      0.4673199951648712       0.36004868149757385      0.2734808623790741       1.0                      
1300                     1.299031849834654        341049344                74373.29335945811        1                        6187.3193359375          0.0                      58.17646026611328        8200                     0.0                      58.12527084350586        447218                   0.33904820680618286      36.55381774902344        0.0033014477230608463    0.15423889458179474      0.9996809959411621       0.00011851675662910566   15.946906089782715       0.009314261376857758     0.0012896772241219878    0.007751465309411287     5.580536365509033        0.1471284031867981       0.1471284031867981       0.0                      0.0                      0.0                      1.0                      0.9998483657836914       1.8431471586227417       -2.3834068775177         4.226553916931152        1.8785909414291382       1.8431471586227417       146.0                    1022.0                   0.2343018800020218       0.014806516468524933     0.5942907333374023       0.2989383339881897       0.20954649150371552      0.08122391998767853      0.05094194784760475      0.02588672749698162      0.10579583048820496      0.8149543404579163       0.22894598543643951      0.4561610817909241       0.36004868149757385      0.2734808623790741       1.0                      
1400                     1.3968030625581742       367263744                74477.94791001434        1                        6187.3193359375          0.0                      58.10282897949219        8208                     0.0                      58.10311508178711        447327                   0.38986238837242126      27.326568603515625       -0.005275470204651356    0.1307624876499176       0.9996933937072754       4.83239273307845e-05     12.013238906860352       0.008226447738707066     0.0012120285537093878    0.004464285913854837     6.6167192459106445       0.14293070137500763      0.14293070137500763      0.0                      0.0                      0.0                      1.0                      0.9998254776000977       1.8635449409484863       -2.456111192703247       4.3196563720703125       1.9379754066467285       1.8635449409484863       146.0                    1022.0                   0.19304245710372925      -0.029815053567290306    0.6545558571815491       0.29109764099121094      0.20830407738685608      0.08138137310743332      0.050074175000190735     0.025351013988256454     0.10331840813159943      0.7998079061508179       0.23200301826000214      0.4572477340698242       0.36004868149757385      0.2734808623790741       1.0                      
1500                     1.4947231260273193       393478144                74364.76019585946        1                        6187.3193359375          0.0                      58.113460540771484       8206                     0.0                      58.07094955444336        447526                   0.3470291793346405       28.435224533081055       -0.0013694356894120574   0.13393326103687286      0.9999449849128723       6.60890291328542e-05     12.279014587402344       0.007587379775941372     0.0011639990843832493    0.005458286963403225     7.563501358032227        0.14229115843772888      0.14229115843772888      0.0                      0.0                      0.0                      1.0                      0.999786376953125        1.8811075687408447       -2.465937852859497       4.347044944763184        2.027984142303467        1.8811075687408447       146.0                    1022.0                   0.2418646514415741       0.021683529019355774     0.6133698225021362       0.2905992269515991       0.20969782769680023      0.08110212534666061      0.05130435526371002      0.025727154687047005     0.10493798553943634      0.7879540920257568       0.22641167044639587      0.44534748792648315      0.36004868149757385      0.2734808623790741       1.0                      
